season,episode,title,rating,gunther,janice,richard,heckles,frank,estelle,ursula,summary,central,monica_loc,joey_loc,ross_loc,monica,joey,chandler,ross,rachel,phoebe
5,14, The One Where Everybody Finds Out ,9.7,1,0,0,0,0,0,0,"Ross applies for Ugly Naked Guy's apartment when he moves out, only to find there is fierce competition. While viewing the apartment with Ross and Rachel, Phoebe happens to see Monica and Chandler through the window, having sex. Joey is relieved that everyone  finally knows and he no longer has to pretend, but Rachel and Phoebe want to have some fun by forcing them into confessing. Rachel suggests Ross strike up an acquaintance with Ugly Naked Guy by finding similar interests to win his apartment, causing Ross to employ an extreme method. Chandler and Monica finally confess they love each other, but want to keep it secret from Ross a while longer  .,, but Ross soon finds out, causing another emotional outburst in front of his boss who just cleared him to return to work.",0.07692307692307693,0.4615384615384616,0.07692307692307693,0.2307692307692308,0.12075471698113208,0.10943396226415096,0.2188679245283019,0.10566037735849056,0.18490566037735848,0.23773584905660375
10,17, The Last One ,9.625050529069076,0,0,0,0,0,0,0,"After having sex with Ross, Rachel says it was 'the perfect way to say goodbye', and he realizes he is still in love with her. Phoebe and Joey pack Monica and Chandler's belongings as the couple accompany Erica to the hospital. Ross and Phoebe race to the airport to tell Rachel of his feelings – but she gets on the plane anyway. Meanwhile, Erica gives birth to twins which Chandler and Monica name Jack and Erica. Still on the plane, contemplating Ross' plea, Rachel has a change of heart. She leaves the plane and goes to Ross' apartment to tell him that she loves him. After years of separation, the two finally get back together for good, saying ""this is it"", hinting they will marry after the series, Back in Monica's apartment, the friends turn in their keys and go out for their last cup of coffee together as a group. The series ends with the friends leaving and a camera panning the apartment and the city.",0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.12020905923344948,0.14634146341463414,0.14111498257839722,0.19337979094076652,0.1254355400696864,0.1480836236933798
4,12, The One with the Embryos ,9.5,0,0,0,0,1,0,0,"Rachel and Monica demand that Chandler and Joey get rid of the birds when the rooster starts crowing every morning. Joey and Chandler argue with Monica and Rachel over who knows whom better, so Ross designs a trivia quiz with high stakes: if the men lose, they give up the chick and duck, but if the women lose, they switch apartments with the men. The result comes down to a tie breaker, which the girls lose, forcing them to move. Frank and Alice's embryos are implanted into Phoebe's uterus, leading to a tense wait that results in her pregnancy.In 2009, TV Guide ranked this episode #21 on its list of the 100 Greatest Episodes.[3]",0.0,0.7,0.1,0.0,0.1870748299319728,0.14625850340136054,0.14965986394557826,0.16326530612244894,0.17346938775510204,0.09523809523809523
2,14, The One with the Prom Video ,9.4,0,0,0,0,0,0,0,"After getting his big break with Days of Our Lives, Joey pays Chandler back with $812 and gives him an engraved gold bracelet that Chandler thinks makes him look gay. Joey's feelings are hurt when he overhears Chandler complaining about it. Also, an unemployed Monica is hard up for money. A home video from Monica and Rachel's prom night reveals that Monica was previously overweight and Rachel had a large nose. Rachel's date, Chip, seemed to have stood her up, so Ross donned his father's tuxedo to take her to the prom, though Chip showed up at the last minute without Rachel knowing what Ross did. Rachel, overwhelmed by Ross' gesture, kisses him.In 1997, TV Guide ranked this episode at #100 of its list of TV's 100 Greatest Episodes.[4]",0.25,0.5,0.16666666666666666,0.0,0.17479674796747968,0.07317073170731707,0.13414634146341464,0.17886178861788618,0.11788617886178862,0.06504065040650407
8,4, The One with the Videotape ,9.3,0,0,0,0,0,0,0,"Ross and Rachel argue over who initiated their sexual encounter that led to Rachel's pregnancy. Everyone is positive Ross was the instigator, but Ross claims it was Rachel. To prove it, he reveals how he accidentally videotaped their encounter; while he was videotaping himself practicing giving a speech, Rachel arrived. Everyone watches the tape that shows Rachel used Joey's contrived, ""Backpacking in western Europe that leads to having sex,"" story as a come-on to Ross. Monica and Chandler look forward to socializing with another newlywed couple they met on their honeymoon, only to discover the couple has blown them off with a fake phone number.",0.0,0.5,0.3,0.1,0.12313432835820895,0.16791044776119404,0.07835820895522387,0.30970149253731344,0.23134328358208955,0.06716417910447761
8,9, The One with the Rumor ,9.3,0,0,0,0,0,0,0,"Monica invites a high school friend, Will  started a rumor during their senior year about Rachel having both male and female ""reproductive parts"". Joey tries protecting the Tribbiani ""family legacy"" by eating an entire turkey. Chandler and Phoebe sit on the couch, watching a game to avoid helping Monica with the dinner clean up.",0.0,0.75,0.25,0.0,0.22878228782287824,0.1033210332103321,0.059040590405904064,0.13284132841328414,0.17712177121771214,0.11439114391143912
5,8, The One with All the Thanksgivings ,9.2,0,0,0,0,0,0,0,"Monica cooks Thanksgiving dinner. After, everyone share stories of their worst-ever Thanksgivings: Chandler learned of his parents' divorce; Joey got a raw turkey stuck on his head; newly-thin, teen-aged Monica accidentally cut off the tip of Chandler's with a sharp knife.",0.0,0.4705882352941176,0.0,0.1176470588235294,0.2550607287449393,0.08097165991902834,0.1862348178137652,0.10931174089068826,0.13360323886639675,0.097165991902834
6,9, The One Where Ross Got High ,9.2,0,0,0,0,0,0,0,"Ross is forced to tell Chandler why Jack and Judy dislike him. While in college, Ross experimented with pot and was found out by his parents but he claimed it was Chandler's pot. Rachel makes dessert, but when the recipe book's pages get stuck together, she combines an English trifle with a shepherd's pie. Phoebe has a sensual dream about Jack Geller, Monica and Ross' father. Joey and Ross want to skip Monica's Thanksgiving dinner after Janine invites them to hang out with her and her dancer friends.",0.0,0.5,0.125,0.0,0.15810276679841898,0.1422924901185771,0.1383399209486166,0.2015810276679842,0.1541501976284585,0.06719367588932806
3,6, The One with the Flashback ,9.1,0,1,0,1,0,0,0,"When Janice playfully asks the gang if any of them  have ever slept together, the friends flash back to the time when the coffee shop was a bar and their secrets are revealed: Ross and Phoebe nearly had sex on a pool table; Joey after first meeting Monica, came on to her by getting naked; before Chandler and Rachel knew each other, he tried coming on to her sexually when she and her girlfriends were having a drink at the bar. Rachel, engaged to Barry, brushed off Chandler, but later fantasized about having sex with him.",0.0625,0.1875,0.0625,0.0,0.2338709677419355,0.10080645161290322,0.1693548387096774,0.12903225806451613,0.08870967741935484,0.1693548387096774
4,1, The One with the Jellyfish ,9.1,1,0,0,0,0,0,1,"Ross breaks up with Bonnie and gets back with Rachel, though she insists he first read her 18-page  letter discussing their relationship and insisting he take full responsibility for their break-up. Ross reluctantly agrees, suppressing his anger. Joey and Chandler come to Monica's rescue after she is stung by a jellyfish--one of them has to pee on her leg to relieve the pain. Phoebe goes to see her sister, Ursula, who reveals she already knows about their birth mother. Ross and Rachel break up again after Ross refuses to take all the blame for their previous problems and insists they were, ""on a break.""",0.15384615384615385,0.15384615384615385,0.0,0.0,0.12322274881516587,0.0995260663507109,0.10426540284360188,0.20853080568720375,0.17061611374407584,0.16113744075829384
