season,episode,scene,quote_index,line,extra
1,1,1,2,"all right joey, be nice. so does he have a hump? a hump and a hairpiece?",
1,1,1,6,sounds like a date to me.,[time lapse]
1,1,1,7,"alright, so i'm back in high school, i'm standing in the middle of the cafeteria, and i realize i am totally naked.",
1,1,1,9,"then i look down, and i realize there's a phone... there.",
1,1,1,11,that's right.,
1,1,1,14,"all of a sudden, the phone starts to ring. now i don't know what to do, everybody starts looking at me.",
1,1,1,16,"finally, i figure i'd better answer it, a nd it turns out it's my mother, which is very-very weird, because- she never calls me!","[time lapse, ross has entered.]"
1,1,1,21,cookie?,
1,1,1,34,sometimes i wish i was a lesbian... did i say that out loud?,[they all stare at him.]
1,1,1,41,and i just want a million dollars!,[he extends his hand hopefully.]
1,1,2,1,tuna or egg salad? decide!,[imitating the characters]
1,1,2,5,"ooh, she should not be wearing those pants.",[re tv]
1,1,2,21,"please don't do that again, it's a horrible sound.",
1,1,2,30,"ooh, this is a dear diary moment.",
1,1,2,40,"i'm sorry, i didn't catch your name. paul, was it?",
1,1,2,52,"yes, and we're very excited about it.",[deadpan]
1,1,4,2,it's a beautiful thing.,
1,1,4,4,i would have to say that is an 'l'-shaped bracket.,
1,1,4,6,i have no idea.,[joey checks that ross is not looking and dumps it in a plant.]
1,1,4,8,all finished!,
1,1,4,11,"yes, please don't spoil all this fun.",
1,1,4,14,"oh, god.",
1,1,4,16,oh my god!,
1,1,7,2,you must stop!,[chandler hits what he is working on with a hammer and it collapses.]
1,1,7,4,"look, ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a mento. you , however have had the love of a woman for four years. four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! i don't think that was my point!",
1,1,7,8,stay out of my freezer!,
1,1,10,2,"angela's the screamer, andrea has cats.",
1,1,11,1,that is amazing.,
1,1,11,4,"if can invade poland, there isn't anything i can't do.",
1,1,11,11,"hi, paul, is it?",[monica and paul walk to the door and talk in a low voice so the others can't hear. the others move monica's table closer to the door so that they can.]
1,1,11,20,"all right, kids, i gotta get to work. if i don't input those numbers,... it doesn't make much of a difference...",
1,1,11,28,"'look, gippetto, i'm a real live boy.'",
1,1,11,30,"you're right, i'm sorry. "" once i was a wooden boy, a little wooden boy... """,[burst into song and dances out of the door.]
1,1,13,12,and yet you're surprisingly upbeat.,
1,1,13,14,"oh, how well you know me...",
1,1,14,17,"y'know, if you listen closely, you can hear a thousand retailers scream.",[as rachel is cutting up her cards] [she finishes cutting them up and they all cheer.]
1,1,15,11,"did you make it, or are you just serving it?",
1,1,15,14,"kids, new dream... i'm in las vegas.",[rachel sits down to hear chandler's dream.]
1,1,15,17,"okay, so, i'm in las vegas... i'm liza minelli-",
1,2,1,5,"yeah, i think for us, kissing is pretty much like an opening act, y'know? i mean it's like the stand-up comedian you have to sit through before pink floyd comes out.",
1,2,1,7,"the problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? i mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",
1,2,3,0,"oh, i think this is the episode of three's company where there's some kind of misunderstanding.",
1,2,3,5,"oh, uh, that would be mine. see, i wrote a note to myself, and then i realised i didn't need it, so i balled it up and... ...now i wish i was dead.",[sees that monica is glaring at him] [monica starts to fluff a pillow.]
1,2,3,8,"yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",
1,2,3,12,"ew, ew, ew, ew ew ew ew ew!",[looking out the window]
1,2,3,14,ugly naked guy got a thighmaster!,
1,2,3,25,you don't get a lot of 'doy' these days...,
1,2,3,27,...dinah?,
1,2,3,33,"now, monica, you know that's not how you look for an engagement ring in a lasagne...",
1,2,3,35,boys? we're going in.,"[chandler, joey, and phoebe start to pick through the lasagne as there's a knock on the door which monica answers.]"
1,2,3,42,"kinda puts that whole pillow thing in perspective, huh, mon?",
1,2,3,47,"i mean presumably, the biggest part of your job is done.",
1,2,5,7,what does she do?,
1,2,5,11,"well, no, although i did have an imaginary friend, who... my parents actually preferred.",
1,2,11,2,"i dunno, but.. i think it's about to attack the enterprise.",
1,3,1,9,or 'you're such a nice guy' means 'i'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,
1,3,1,13,"yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",
1,3,2,0,"""so how does it feel knowing you're about to die?""",
1,3,2,2,"hey, that was really good!",
1,3,2,4,"okay. ""so. whaddya want from me, damone, huh?""",
1,3,2,6,"""smoke away.""","[joey takes out a pack of cigarettes and a lighter. he fumbles and drops the lighter. then he lights a cigarett, takes a drag, and coughs.]"
1,3,2,7,i think this is probably why damone smokes in his cell alone.,
1,3,2,9,relax your hand!,[joey lets his wrist go limp.]
1,3,2,10,not so much!,
1,3,2,12,hey!,
1,3,2,14,"alright, now try taking a puff.",[joey tries and visibly winces.]
1,3,2,15,alright.. okay. no. give it to me.,
1,3,2,17,"it's fine, it's fine. look, do you wanna get this part, or not? here.",[joey reluctantly gives him the cigarette.]
1,3,2,18,"don't think of it as a cigarette. think of it as the thing that's been missing from your hand. when you're holding it, you feel right. you feel complete.",
1,3,2,20,"nah, not so much. alright, now we smoke. oh.. my.. god.",[takes a puff.] [he continues to smoke.]
1,3,3,12,"oh, satan's minions at work again...",
1,3,3,24,"i'm smoking. i'm smoking, i'm smoking.",
1,3,3,26,and this- is my reward!,
1,3,3,28,"okay, so this time i won't quit!",
1,3,3,30,"all right! i'm putting it out, i'm putting it out.",[he drops it in phoebe's coffee.]
1,3,3,39,what are you talking about? we love schhteve! schhteve was schhexy!.. sorry.,
1,3,5,32,"oh, yeah. i'd marry him just for his david hasselhof impression alone. you know i'm gonna be doing that at parties, right?",[does the impression]
1,3,6,7,"yep, we sure showed those hassidic jewellers a thing or two about softball..",
1,3,6,13,i personally could have a gallon of alan.,
1,3,10,3,"well, maybe it's a contest, y'know? like, collect all five?",
1,3,10,8,"hey, this is so unfair!",
1,3,10,10,"so i have a flaw! big deal! like joey's constant knuckle-cracking isn't annoying? and ross, with his over-pronouncing every single word? and monica, with that snort when she laughs? i mean, what the hell is that thing? ...i accept all those flaws, why can't you accept me for this?",[an awkward silence ensues.]
1,3,12,2,"hey, y'know, i have had it with you guys and your cancer and your emphysema and your heart disease. the bottom line is, smoking is cool, and you know it.",
1,3,12,4,"really? he does? hey, buddy, what's up! oh, she told you about that, huh. well, yeah, i have one now and then. well, yeah, now. well, it's not that big- ..well, that's true,.. gee, y'know, no-one- no-one's ever put it like that before. well, okay, thanks!",[taking the phone] [he hands the phone back and stubs out his cigarette.]
1,3,13,0,"ooh, lambchop. how old is that sock? if i had a sock on my hand for thirty years it'd be talking too.",
1,3,13,3,"joey ate my last stick of gum, so i killed him. do you think that was wrong?",
1,3,13,7,"ooh, i'm alive with pleasure now.",[deadpan]
1,3,13,36,"oh, she's sorry! i feel better!",[sarcastic]
1,3,15,9,...that's it. i'm getting cigarettes.,
1,3,15,11,"i don't care, i don't care! game's over! i'm weak! i've gotta smoke! i've gotta have the smoke!",[leaving]
1,3,15,13,"yeah, alright.",[returns]
1,4,1,3,"uh, if i were omnipotent for a day, i'd.. make myself omnipotent forever.",
1,4,2,12,you got waaaay too much free time.,
1,4,2,14,"happy birthday, pal!",
1,4,2,19,"well, aren't we mr. ""the glass is half empty.""",
1,4,2,24,eleven days before halloween.. all the good costumes are gone?,
1,4,2,27,"c'mon, ross! you, me, joey, ice, guys' night out, c'mon, whaddya say, big guy, huh? huh? huh?",[trying to stop ross leaving] [pretending to punch him in the stomach.]
1,4,2,29,i have no idea.,[stops]
1,4,2,32,you got it.,[rachel runs up cluching an envelope.]
1,4,2,38,"oh, this is not that bad.",[looking]
1,4,3,0,...poulet passes it up to leetch!,[passes it to joey.]
1,4,3,2,we'll take a brief time out while messier stops to look at some women's shoes.,
1,4,3,6,"yes, bunny?",
1,4,3,10,could've been a peach.,[to joey]
1,4,6,1,what? there was ice there that night with carol? plastic seats? four thousand angry pittsburgh fans?,
1,4,8,1,"see buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.",[to ross]
1,4,8,3,he's open!,
1,4,8,5,"hey, look, we're on that tv thing! commercial break",[chandler and joey hold the puck and wave at the tv thing.]
1,4,9,0,'scuse me.,[to the receptionist]
1,4,9,2,"listen, it's kind of an emergency. well, i guess you know that, or we'd be in the predicament room.",[the receptionist glares at him.]
1,4,11,0,"excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in. i mean, that guy with the toe thing? who's he sleeping with? oh, c'mon dora, don't be mad... i know we both said some things we didn't mean, but that doesn't mean we still don't love each other. y'know, i feel like i've lost her.. ba-!","[she slides the gladd panel over and chandler talks through it in a loud voice.] [to the waiting room.] [she slides the panel back, he turns, and it takes him by surprise.]"
1,4,13,1,"yes, the moon, the glow, the magical feeling, you did this part- could i get some painkillers over here, please?",
1,4,13,4,"well, what? what? what is it? that she left you? that she likes women? that she left you for another woman that likes women?",
1,4,13,6,then what?,
1,4,13,11,"so in your whole life, you've only been with one— —oh.",[he gets a look too]
1,4,15,1,"i think it's great. y'know, it's sweet, it's romantic...",
1,4,15,3,"no, you kidding? the guy's a freak..",[ross enters off camera]
1,4,15,7,"oh, i thought you were great in silence of the lambs. oh come on, admit it! all things considered, you had fun tonight.",
1,4,15,12,"you gotta do it, man.",
1,4,16,2,thanks.,[the guy nods and leaves]
1,4,16,4,"hello? oh, uh, rachel, it's the visa card people.",
1,4,16,6,"alright. yes, this is rachel.",[on phone]
