season,episode,scene,quote_index,line,extra
1,1,1,1,"c'mon, you're going out with the guy! there's gotta be something wrong with him!",
1,1,1,10,instead of...?,
1,1,1,12,never had that dream.,
1,1,1,18,"this guy says hello, i wanna kill myself.",
1,1,1,23,ohh.,
1,1,1,32,and you never knew she was a lesbian...,
1,1,1,38,"alright ross, look. you're feeling a lot of pain right now. you're angry. you're hurting. can i tell you what the answer is?",[ross gestures his consent.]
1,1,1,39,"strip joint! c'mon, you're single! have some hormones!",
1,1,2,6,"i say push her down the stairs. phoebe, ross, chandler, and",
1,1,2,7,push her down the stairs! push her down the stairs! push her down the stairs!,[she is pushed down the stairs and everyone cheers.]
1,1,2,18,"and hey, you need anything, you can always come to joey. me and chandler live across the hall. and he's away a lot.",[comforting her]
1,1,2,20,"what, like there's a rule or something?",[the door buzzer sounds and chandler gets it.]
1,1,2,24,who's paul?,
1,1,2,27,wait. your 'not a real date' tonight is with paul the wine guy?,
1,1,2,45,"hey, paul!",
1,1,2,47,"here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",
1,1,2,55,"hey pheebs, you wanna help?",
1,1,4,1,i'm thinking we've got a bookcase here.,
1,1,4,3,what's this?,[picking up a leftover part]
1,1,4,5,which goes where?,
1,1,4,7,done with the bookcase!,
1,1,4,10,"hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",
1,1,4,12,"ross, let me ask you a question. she got the furniture, the stereo, the good tv- what did you get?",
1,1,4,15,you got screwed.,
1,1,7,1,shut up!,
1,1,7,6,"what are you talking about? 'one woman'? that's like saying there's only one flavor of ice cream for you. lemme tell you something, ross. there's lots of flavors out there. there's rocky road, and cookie dough, and bing! cherry vanilla. you could get 'em with jimmies, or nuts, or whipped cream! this is the best thing that ever happened to you! you got married, you were, like, what, eight? welcome back to the world! grab a spoon!",
1,1,10,1,"great story! but, i uh, i gotta go, i got a date with andrea--angela--andrea... oh man,",[looks to chandler]
1,1,10,3,right. thanks. it's june. i'm outta here.,[exits.]
1,1,11,2,congratulations.,
1,1,11,5,"listen, while you're on a roll, if you feel like you gotta make like a western omelet or something... although actually i'm really not that hungry...","[joey and chandler taste the coffee, grimace, and pour it into a plant pot.]"
1,1,11,9,"morning, paul.",
1,1,11,17,that wasn't a real date?! what the hell do you do on a real date?,
1,1,11,23,"yeah, i'm an actor.",
1,1,11,25,i doubt it. mostly regional work.,
1,1,11,27,"look, it was a job all right?",
1,1,11,29,i will not take this abuse.,[walks to the door and opens it to leave.]
1,1,11,31,"you should both know, that he's a dead man. oh, chandler?",[starts after chandler.]
1,1,13,0,of course it was a line!,[sitting on the arm of the couch]
1,1,13,8,i can't believe you didn't know it was a line!,[bursts out laughing again] [monica pushes him off of the sofa as rachel enters with a shopping bag.]
1,1,15,0,i can't believe what i'm hearing here.,
1,1,15,8,"oh, you wouldn't know a great butt if it came up and bit ya.",
