season,episode,scene,quote_index,line,extra
1,1,1,3,"wait, does he eat chalk?","[they all stare, bemused.]"
1,1,1,4,"just, 'cause, i don't want her to go through what i went through with carl- oh!",
1,1,1,13,no.,
1,1,1,26,ooh! oh!,[she starts to pluck at the air just in front of ross.]
1,1,1,28,fine! be murky!,
1,1,2,4,"if i let go of my hair, my head will fall off.",
1,1,2,14,"raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... la la la la... something and noodles with string. these are a few...",[sings] [rachel and monica turn to look at her.]
1,1,2,16,i helped!,[grins and walks to the kitchen and says to chandler and joey.]
1,1,2,37,"what does that mean? does he sell it, drink it, or just complain a lot?",[chandler doesn't know.] [there's a knock on the door and it's paul.]
1,1,2,44,"ooh, i just pulled out four eyelashes. that can't be good.",[monica goes to change.]
1,1,2,56,"oh, i wish i could, but i don't want to. commercial break",
1,1,3,0,"love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. la-la-la-la-la- thank you. la-la-la-la...ohhh!",[singing] [some guy gives her some change and to that guy] [sings]
1,1,13,4,"oh no, don't hate, you don't want to put that out into the universe.",
1,1,13,6,"all right, c'mere, gimme your feet.",[she starts massaging them.]
1,1,14,3,"give her a break, it's hard being on your own for the first time.",
1,1,14,5,"you're welcome. i remember when i first came to this city. i was fourteen. my mom had just killed herself and my step-dad was back in prison, and i got here, and i didn't know anybody. and i ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then i found aromatherapy. so believe me, i know exactly how you feel.",[pause]
1,1,15,1,i can't believe what i'm hearing here...,[sings]
1,1,15,3,what i said you had...,[sings]
1,1,15,5,"oh, was i doing it again?",
1,2,1,2,"oh, yeah!",
1,2,3,1,...then i've already seen this one!,[turns off the tv.]
1,2,3,6,"she's already fluffed that pillow... monica, you know, you've already fluffed that- -but, it's fine!",[monica glares at her.]
1,2,3,9,"monica- hi! um, monica, you're scaring me. i mean, you're like, you're like all chaotic and twirly. and not-not in a good way.",
1,2,3,17,"yeah, it's beautiful.",
1,2,3,19,"no, look, don't touch that!",
1,2,3,24,doy! probably right before she lost it!,
1,2,3,39,ooh! i found it!,[while everyone else is stunned]
1,2,3,45,she is so great! i miss her.,
1,2,5,4,"y'know, it's even worse when you're twins.",
1,2,5,6,"yeah. we don't speak. she's like this high-powered, driven career type.",
1,2,5,8,she's a waitress.,
1,2,11,3,"you know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",
1,2,11,5,okay!,
1,3,1,0,hi guys!,[entering]
1,3,1,3,"um, not so good. he walked me to the subway and said 'we should do this again!'",
1,3,1,10,"or, or, y'know, um, 'i think we should see other people' means 'ha, ha, i already am'.",
1,3,3,7,"yeah- no- i'm just- it's, i haven't worked- it's my bank.",
1,3,3,9,"it's nothing, it's just- okay. i'm going through my mail, and i open up their monthly, you know, statement-",
1,3,3,11,- and there's five hundred extra dollars in my account.,
1,3,3,13,"yes, 'cause now i have to go down there, and deal with them.",
1,3,3,15,"it's not mine, i didn't earn it, if i kept it, it would be like stealing.",
1,3,3,17,"okay. okay, let's say i bought a really great pair of shoes. do you know what i'd hear, with every step i took? 'not-mine. not-mine. not-mine.' and even if i was happy, okay, and, and skipping- 'not-not-mine, not-not-mine, not-not-mine, not-not-mine'...",
1,3,3,19,okay. i'd- just- i'd never be able to enjoy it. it would be like this giant karmic debt.,
1,3,3,25,"oh, i can't believe you! you've been so good, for three years!",
1,3,3,31,"oh, no! i- i can't drink this now!",
