name,main
monica,True
ross,True
phoebe,True
joey,True
rachel,True
chandler,True
waitress,False
paul,False
priest on tv,False
frannie,False
customer,False
marsha,False
carol,False
mrs geller,False
mr geller,False
susan,False
barry,False
robbie,False
bernice,False
dr. oberman,False
paula,False
alan,False
the guys,False
lizzie,False
guys,False
leslie,False
kiki,False
joanne,False
receptionist,False
pizza guy,False
both,False
kid,False
angela,False
janice,False
woman,False
bob,False
aurora,False
director,False
jill,False
mr heckles,False
paolo,False
shelley,False
aunt lillian,False
nurse,False
andrea,False
lowell,False
terry,False
guy,False
girl,False
max,False
david,False
sandy,False
fun bobby,False
dick clark,False
jay leno,False
mrs bing,False
coma guy,False
carol and susan ,False
phoebe's assistant,False
girls,False
roger,False
mr tribbiani,False
ronni,False
mrs tribbiani,False
lorraine,False
kristin,False
fireman no. 1,False
fireman no. 2,False
fireman no. 3,False
mrs tedlock,False
celia,False
steve,False
ursula ,False
woman ,False
teacher ,False
carol ,False
susan ,False
helen ,False
nina ,False
ross and susan ,False
mr douglas ,False
jamie ,False
fran ,False
mrheckles ,False
soothing male voice ,False
nurse ,False
dr. mitchell ,False
dr. rosen ,False
the whole party ,False
phoebe's friends ,False
dr. mitchell,False
dr. rosen,False
aunt iris,False
intercom,False
luisa,False
woman no. 1,False
woman no. 2,False
bobby,False
mindy,False
danielle,False
teacher,False
dr. baldhara,False
pa,False
actor,False
casting director no. 1,False
casting director no. 2,False
young ethan,False
gerston,False
santos,False
petrie,False
dr. franzblau,False
lydia,False
janitor,False
melanie,False
flight attendant,False
flight attendant ,False
man,False
carl,False
julie,False
paulo,False
frankie,False
annabelle,False
hombre man,False
carol and susan,False
store guy,False
mr treeger,False
mr boyle,False
alison,False
stranger,False
duncan,False
rahcel,False
old woman,False
jade,False
waiter,False
machine,False
caroline,False
boys,False
doctor,False
girl 1 on bus,False
girl 2 on bus,False
girl 1,False
girl 2,False
stephanie,False
transit authority guy,False
both [but to different babies],False
together,False
mich,False
rtst,False
radio,False
