season,episode,scene,quote_index,character,line,extra
1,1,1,44,waitress,can i get you some coffee?,
1,1,2,22,paul,"it's, uh, it's paul.",[over the intercom]
1,1,2,46,paul,yeah?,
1,1,5,1,paul,"i know, i know, i'm such an idiot. i guess i should have caught on when she started going to the dentist four and five times a week. i mean, how clean can teeth get?",
1,1,5,3,paul,"well, you might try accidentally breaking something valuable of hers, say her-",
1,1,5,5,paul,"that's one way! me, i- i went for the watch.",[laughing]
1,1,5,7,paul,"ooh, steer clear of you.",
1,1,8,0,paul,"ever since she walked out on me, i, uh...",
1,1,8,2,paul,"no, it's, it's more of a fifth date kinda revelation.",
1,1,8,4,paul,isn't there?,
1,1,8,6,paul,"well, ever-ev-... ever since she left me, um, i haven't been able to, uh, perform. ...sexually.",[monica takes a sip of her drink.]
1,1,8,8,paul,it's okay...,
1,1,8,10,paul,two years.,
1,1,8,12,paul,"so you still think you, um... might want that fifth date?",
1,1,9,0,priest on tv,"we are gathered here today to join joanne louise cunningham and charles, chachi-chachi-chachi, arcola in the bound of holy matrimony.",
1,1,11,8,paul,morning.,[entering from monica's room]
1,1,11,12,paul,thank you! thank you so much!,
1,1,11,14,paul,"no, i'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in witness",
1,1,11,16,paul,yeah. thank you.,[they kiss] [exits]
1,1,12,0,frannie,"hey, monica!",
1,1,12,2,frannie,"you had sex, didn't you?",
1,1,12,4,frannie,"oh, i hate you, i'm pushing my aunt roz through parrot jungle and you're having sex! so? who?",
1,1,12,6,frannie,"paul the wine guy? oh yeah, i know paul.",
1,1,12,8,frannie,"are you kidding? i take credit for paul. y'know before me, there was no snap in his turtle for two years.",
1,1,15,15,customer,"ahh, miss? more coffee?",[to rachel]
1,2,2,1,marsha,"well, she has issues.",
1,2,2,3,marsha,"he's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",
1,2,2,5,marsha,"speaking of issues, isn't that your ex-wife?","[carol, ross's ex-wife, has entered behind them and is standing outstide the exhibit.]"
1,2,2,7,marsha,"yes, it is. carol! hi!",
1,2,2,10,carol,so.,
1,2,2,12,carol,sorry. you look good too.,
1,2,2,14,carol,a lesbian?,
1,2,2,16,carol,"marty's still totally paranoid. oh, and, uh-",
1,2,2,18,carol,i'm pregnant.,
1,2,4,0,mrs geller,": oh, martha ludwin's daughter is gonna call you. mmm! what's that curry taste?",[tastes a snack]
1,2,4,2,mrs geller,: mmmm!,
1,2,4,4,mr geller,": do you remember the ludwins? the big one had a thing for you, didn't she?",[to ross]
1,2,4,5,mrs geller,: they all had a thing for him.,
1,2,4,8,mrs geller,": oh, she just graduated, and she wants to be something in cooking, or food, or.... i don't know. anyway, i told her you had a restaurant-",
1,2,4,10,mrs geller,": well, they don't have to know that...",[she starts to fluff the same pillow monica fluffed multiple times earlier.]
1,2,4,13,mrs geller,": oh, we're having spaghetti! that's.... easy.",
1,2,4,15,mrs geller,": what that rachel did to her life.... we ran into her parents at the club, they were not playing very well.",
1,2,4,16,mr geller,: i'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,
1,2,4,17,mrs geller,": well, at least she had the chance to leave a man at the altar...",
1,2,4,19,mrs geller,: nothing! it's an expression.,
1,2,4,21,mr geller,": don't listen to your mother. you're independent, and you always have been! even when you were a kid... and you were chubby, and you had no friends, you were just fine! and you would read alone in your room, and your puzzles...",[time lapse.]
1,2,4,22,mr geller,": look, there are people like ross who need to shoot for the stars, with his museum, and his papers getting published. other people are satisfied with staying where they are- i'm telling you, these are the people who never get cancer.",[time lapse.]
1,2,4,23,mr geller,": ...and i read about these women trying to have it all, and i thank god 'our little harmonica' doesn't seem to have that problem.",
1,2,4,26,mrs geller,: and you knew about this?! commercial break,[to monica]
1,2,6,1,susan,hi.,
1,2,6,2,carol,"ross, you remember susan.",
1,2,6,4,susan,ross.,
1,2,6,6,carol,dr. oberman.,
1,2,6,8,susan,she.,
1,2,6,10,carol,"yes, and she's very supportive.",
1,2,6,12,carol,thanks.,
1,2,6,14,carol,ross? that opens my cervix.,[he drops it in horror.]
1,2,7,1,barry,c'mon in.,
1,2,7,3,barry,"yeah! it's fine, it's fine. robbie's gonna be here for hours.",
1,2,7,4,robbie,huh?!,
1,2,7,5,barry,"so, how ya doin?",
1,2,7,7,barry,"yeah, well..",
1,2,7,8,bernice,"dr. farber, jason greenstein's gagging.",[over intercom]
