rachel_good,rachel_bad,ross_good,ross_bad
"everybody? shh, shhh. uhhh... central perk is proud to present the music of miss phoebe buffay.",everything you need to know is in that first kiss.,"and officiating at tonight's blackout, is rabbi tribbiani.","yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
"wow, this is so cool, you guys. the entire city is blacked out!","yeah, well, word of advice bring back the comedian. otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",that's my sister.,"no, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
"wow, you guys, this is big.",has anybody seen my engagement ring?,"pheebs, what about you?",does she.
that had to hurt!,"oh god, oh god, oh god oh god oh god oh god....","disneyland, 1989, 'it's a small world after all.'","marsha, these are cave people. okay? they have issues like 'gee, that glacier's getting kinda close.' see?"
"alright, somebody.","oh, like i wasn't dreading tomorrow enough, having to give it back to him... 'hi barry! remember me? i'm the girl in the veil who stomped on your heart in front of your entire family!' oh god and now i'm gonna have to return the ring, without the ring, which makes it so much harder...","the ride broke down. so, carol and i went behind a couple of those mechanical dutch children... then they fixed the ride, and we were asked never to return to the magic kingdom.",no. no.
um... ross?,"i know i had it this morning, and i know i had it when i was in the kitchen with...",step back.,"okay, okay, yes, it is. how about i'll, uh, catch up with you in the ice age."
"oh come on, i already went.","ohhhhh, don't be mad...","well, it was the only thing to do there that didn't have a line.",hi.
"oh, alright. the weirdest place would have to be... ... oh, the foot of the bed.","oh, i am sorry...",come on.,"you look great. i, uh... i hate that."
"i just never had a relationship with that kind of passion, you know, where you have to have somebody right there, in the middle of a theme park.","oh, but look how straight those noodles are!",and you didn't marry him because...?,"ah, well, in here, anyone who... stands erect... so what's new? still, uh..."
"there, well, see? barry wouldn't even kiss me on a miniature golf course.","well now, how-how do you fit into this whole thing?","probably. but you know, i'll tell you something. passion is way overrated.","well... you never know. how's, um.. how's the family?"
"no, he said we were holding up the people behind us.",so what are you gonna do?,"it is. eventually, it kind of... burns out. but hopefully, what you're left with is trust, and security, and... well, in the case of my ex-wife, lesbianism. so, you know, for all of those people who miss out on that passion... thing, there's all that other good stuff.","why- why are you here, carol?"
"i mean, do you think there are people who go through life never having that kind of...",you're twins?,"but, um... i don't think that's going to be you.",pregnant?!
yeah right.,"all right, you guys, i kinda gotta clean up now.","uh-uh. see, i see.... big passion in your future.",.....hi.
ok.,"the lights, please..",mmmm.,carol's pregnant.
you don't.,i'm just cleaning up.,i do.,"yeah. do that for another two hours, you might be where i am right about now."
really?,"uh.. okay, sure! thanks!",what?,"well, carol says she and susan want me to be involved, but if i'm not comfortable with it, i don't have to be involved.. basically it's entirely up to me."
you do?,oh.. a little..,what? why not?,"anyway, they want me to go down to this- sonogram thing with them tomorrow."
"oh ross, you're so great.",a lot.,"no, no, no. i'm not in the zone.","i have no idea. no matter what i do, though, i'm still gonna be a father."
what are you shushing?,"so, got any advice? y'know, as someone who's recently been- dumped?","i'm taking my time, alright? i'm laying the groundwork. yeah. i mean, every day i get just a little bit closer to...","i- i think they're great! i, i really do."
ahhhh!,"oh, you've got carol tomorrow.. when did it get so complicated?","i will, i will. see, i'm waiting for the right moment. what? what, now?","aw, mom..."
huh.,remember when we were in high school together?,shhhh!,yeah.
hmmm... this is so nice.,"i mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? ..ross?",we're shushing... because... we're trying to hear something. listen. don't you hear that?,"okay! okay. look, i, uh- i realise you guys have been wondering what exactly happened between carol and me, and, so, well, here's the deal. carol's a lesbian. she's living with a woman named susan. she's pregnant with my child, and she and susan are going to raise the baby."
ok.,"oh! man, i never thought i'd be here..",see?,"well, y'know, these people are pros. they know what they're doing, they take their time, they get the job done."
ohhh!!!!,barry?,"ok, here goes.",must pee.
"oh, look at the little cat!",are you sure?,i'm going to do it.,...how long was i in there?
during a blackout? he'd get trampled!,i'm- uh- i'm okay... you look great!,"you come out there, you're a dead man.",d'ya.. uh.. d'ya need any help?
oh. hi. we just found this cat and we're looking for the owner.,i dumped him.,thanks. ok.,"anyway.. um.. so, you- uh- you nervous about barry tomorrow?"
bob buttons?,"oh, not much. i-i got a job.","ok, i have a question. well, actually, it's not so much a question as.. more of a general wondering... ment.",mm-hmm..
