season,episode,scene,quote_index,line,extra
1,1,1,8,"oh, yeah. had that dream.",
1,1,2,39,hey! paul! hi! the wine guy! hey!,
1,1,11,7,morning. good morning.,
1,1,11,19,okayyy!,[they do so.]
1,1,14,13,"cut, cut, cut, cut, cut, cut, cut...",[she cuts one of them and they cheer.]
1,1,14,16,"cut, cut, cut, cut, cut, cut, cut..",
1,1,15,6,yes!,
1,1,15,13,"yeah. yeah, i'll have a cup of coffee.",
1,2,3,15,eeaagh!,[rachel enters from her room.]
1,2,10,18,yeah. yeah. a little.,
1,3,1,1,"hey, pheebs! hi!",
1,3,1,4,ohh. ouch.,
1,3,3,4,"yeah. yeah, excellent.",
1,3,3,22,"oh! oh, god!",
1,3,3,29,ohhh! put it out!,
1,3,3,37,"oh, come on! come on!",
1,3,5,3,yeah! we promise! we'll be good!,
1,3,5,15,"hi, alan.",
1,3,5,20,loved him! yeah! he's great!,
1,3,5,22,yeah!,
1,3,5,34,what?,
1,3,5,36,yeah... commercial break,
1,3,6,2,we won!! thank you! yes!,
1,3,10,1,eww!,
1,3,10,5,nooo!,[chandler lights a cigarette.]
1,3,10,6,"oh, hey, don't do that! cut it out!",
1,3,13,12,you're kidding. oh my god.,
1,3,13,20,oh! that was lambchop!,
1,3,13,39,"oh, yeah! right!",
1,3,15,3,mmm.,
1,3,15,10,no no no!,
1,4,1,5,"hey joey. hi. hey, buddy.",
1,4,2,43,oh! yeah!,[they all get their wallets out and give generous tips.]
1,4,8,4,shoot! shoot! shoot!,[the player shoots and the puck flies off the rink and hits ross in the face. chandler looks concered until he notices...]
1,4,14,19,"yeah, drop it! drop the towel! please drop the— —wowww.",[pause]
1,6,2,18,yeah!,
1,6,2,27,hey! you're in a play! i didn't know you could dance! you had a beard!,
1,6,2,29,...hey! you're in a play! i didn't know you could dance! you had a beard!,
1,6,2,31,saw your head. saw your head.,[admitting]
1,6,3,1,hey.,
1,6,3,15,ooooohhh.,
1,6,3,24,what?!,
1,6,3,41,yeah! c'mon!,
1,6,4,5,very clean! it looks great! terrific!,
1,6,4,7,uh-oh...,
1,6,4,29,oh my god! whoah!,
1,6,8,1,hey!,
1,6,8,8,oh!,
1,6,8,20,night.,
1,7,8,2,whoooaa!,
1,7,8,10,no way!,
1,7,8,15,come on.,
1,8,2,14,yeah! right!,
1,8,2,17,yes. absolutely. a quality.,
1,8,10,12,god! ross!,
1,9,12,45,that's so sweet.,
1,10,1,1,oooh!,
1,10,2,2,"hey, joey. hey, buddy.",
1,10,2,14,"yeah, okay. alright.",
1,10,2,16,woooo! yeah!,
1,10,7,58,what?,[in the kitchen]
1,11,3,27,shhh.,
1,11,3,32,awww!,
1,11,12,6,nooo!,
1,13,2,33,"hey! hey, mr. trib!",
1,13,9,0,"hey, pheebs.",
1,13,9,9,yeah. hate him.,
1,13,9,12,"...no, we hate him.",
1,13,12,9,"hey, pheebs.",
1,13,12,12,awww.,
1,13,12,14,aaawwwwww!!,
1,15,3,2,hey!,
1,15,3,5,what is it?,
1,15,3,7,that's great!,
1,15,3,9,why?,
1,16,2,11,hey guys! hey!,
1,17,14,4,¡ewww!,"[ewww!] [joey enters, happy again.]"
1,17,14,5,"¡hola, joey!","[hi, joey!]"
1,18,6,8,that's great! that's wonderful!,
1,19,5,8,hi.,
1,20,2,19,oh!... right!,
1,20,6,12,hey! hi!,
1,20,12,5,hi. hi.,
1,20,12,14,bye.,
1,21,14,11,"oh, sure. sure, absolutely.","[they just stand there, then realise what he means and go to the other end of the room]"
1,22,2,31,what?,
1,22,8,18,mon!,[shouting] [monica takes of her walkman]
1,23,9,0,help!,
1,23,19,0,"push, push!",
1,23,19,6,good luck!,[everyone heads for the door.]
1,23,21,9,yeah.,
2,1,3,15,ohh. hi!,[happily]
2,1,7,10,hi!,
2,2,2,3,no thanks.,
2,2,2,13,hi!,
2,3,1,11,yeah.,
2,4,2,8,huuh.,
2,4,2,27,"yeah, show it. show it. the nubbin, the nubbin, the nubbin.",
2,4,2,29,huuh.,
2,4,3,8,woah.,
2,4,6,5,hi.,
2,5,2,1,"hi, julie!",
2,7,1,9,c'mon. let her. yeah.,
2,7,4,5,sorry phoebs.,
2,7,4,24,hey.,
2,10,2,21,bye! see you later!,
2,11,8,7,"oh, yeah!",
2,12,2,3,alright!,
2,12,2,9,hey.,
2,12,5,17,hi phoebe.,
2,12,11,5,hi phoebe.,
2,12,16,8,woah.,
