season,episode,scene,quote_index,line,extra
1,1,1,0,there's nothing to tell! he's just some guy i work with!,
1,1,1,5,"okay, everybody relax. this is not even a date. it's just two people going out to dinner and- not having sex.",
1,1,1,15,and they weren't looking at you before?!,
1,1,1,19,"are you okay, sweetie?",
1,1,1,22,carol moved her stuff out today.,[explaining to the others]
1,1,1,24,let me get you some coffee.,[to ross]
1,1,1,30,no you don't.,
1,1,1,36,"oh really, so that hysterical phone call i got from a woman at sobbing 3 00 a.m., ""i'll never have grandchildren, i'll never have grandchildren."" was what? a wrong number?",
1,1,1,42,rachel?!,
1,1,1,45,"de-caff. okay, everybody, this is rachel, another lincoln high survivor. this is everybody, this is chandler, and phoebe, and joey, and- you remember my brother ross?",[pointing at rachel] [to all] [to rachel]
1,1,1,48,"so you wanna tell us now, or are we waiting for four wet bridesmaids?",
1,1,1,50,who wasn't invited to the wedding.,
1,1,2,0,"now i'm guessing that he bought her the big pipe organ, and she's really not happy about it.",
1,1,2,11,"well, i guess we've established who's staying here with monica...",
1,1,2,13,"just breathe, breathe.. that's it. just try to think of nice calm things...",
1,1,2,17,"okay, look, this is probably for the best, y'know? independence. taking control of your life. the whole, 'hat' thing.",
1,1,2,19,"joey, stop hitting on her! it's her wedding day!",
1,1,2,23,"oh god, is it 6 30? buzz him in!",
1,1,2,26,maybe.,
1,1,2,29,yes!,
1,1,2,31,"rach, wait, i can cancel...",
1,1,2,33,"are, are you okay? i mean, do you want me to stay?",[to ross]
1,1,2,35,really?,[horrified]
1,1,2,38,"hi, come in! paul, this is.. ... everybody, everybody, this is paul.",[they are all lined up next to the door.]
1,1,2,41,"okay, umm-umm, i'll just--i'll be right back, i just gotta go ah, go ah...",
1,1,2,43,"change! okay, sit down. two seconds.",[shows paul in]
1,1,2,48,"shut up, joey!",[yelling from the bedroom]
1,1,5,0,oh my god!,
1,1,5,2,"my brother's going through that right now, he's such a mess. how did you get through it?",
1,1,5,4,-leg?,
1,1,5,6,"you actually broke her watch? wow! the worst thing i ever did was, i-i shredded by boyfriend's favorite bath towel.",
1,1,5,8,that's right.,
1,1,8,1,"what?..... what, you wanna spell it out with noodles?",
1,1,8,3,"oh, so there is gonna be a fifth date?",
1,1,8,5,"yeah... yeah, i think there is. -what were you gonna say?",
1,1,8,7,"oh god, oh god, i am sorry... i am so sorry...",[spitting out her drink in shock]
1,1,8,9,i know being spit on is probably not what you need right now. um... how long?,
1,1,8,11,wow! i'm-i'm-i'm glad you smashed her watch!,
1,1,8,13,"...yeah. yeah, i do.",[pause]
1,1,11,6,"oh good, lenny and squigy are here.","[entering, to herself]"
1,1,11,13,stop!,
1,1,11,15,we'll talk later.,
1,1,11,18,"shut up, and put my table back.",
1,1,11,22,"yeah, we all have jobs. see, that's how we buy stuff.",
1,1,11,26,"oh wait, wait, unless you happened to catch the reruns' production of pinocchio , at the little theater in the park.",
1,1,11,32,so how you doing today? did you sleep okay? talk to barry? i can't stop smiling.,
1,1,11,34,"i know, he's just so, so... do you remember you and tony demarco?",
1,1,11,36,"well, it's like that. with feelings.",
1,1,11,38,big time!,
1,1,11,40,"i think we are getting a little ahead of selves here. okay. okay. i am just going to get up, go to work and not think about him all day. or else i'm just gonna get up and go to work.",
1,1,11,42,what for?,
1,1,12,1,"hey frannie, welcome back! how was florida?",
1,1,12,3,how do you do that?,
1,1,12,5,you know paul?,
1,1,12,7,you mean you know paul like i know paul?,
1,1,13,1,"why?! why? why, why would anybody do something like that?",
1,1,13,3,i hate men! i hate men!,
1,1,13,5,is it me? is it like i have some sort of beacon that only dogs and men with severe emotional problems can hear?,
1,1,13,7,"i just thought he was nice, y'know?",
1,1,13,16,how'd you pay for them?,
1,1,13,18,and who pays for that?,
1,1,14,1,"c'mon, you can't live off your parents your whole life.",
1,1,14,7,"all right, you ready?",
1,1,14,9,"you can, i know you can!",
1,1,14,15,rachel! that was a library card!,
1,1,14,18,welcome to the real world! it sucks. you're gonna love it!,"[time lapse, rachel and ross are watching a tv channel finishes it's broadcast day by playing the national anthem.]"
1,1,14,19,"well, that's it you gonna crash on the couch?",[to ross]
1,1,14,21,you be okay?,
1,1,14,24,"that's paul's watch. you just put it back where you found it. oh boy. alright. goodnight, everybody.",
1,1,14,41,"see ya.... waitwait, what's with you?",
1,1,15,2,what? i-i said you had a-,
1,1,15,4,would you stop?,[to phoebe]
1,1,15,7,"i said that you had a nice butt, it's just not a great butt.",
1,2,1,0,"what you guys don't understand is, for us, kissing is as important as any part of it.",
1,2,1,4,absolutely.,
1,2,3,2,are you through with that?,[taking a drink from joey]
1,2,3,4,whose little ball of paper is this?!,
1,2,3,7,"look , i'm sorry, guys, i just don't wanna give them any more ammunition than they already have.",
1,2,3,11,"that's because as far as my parents are concerned, ross can do no wrong. y'see, he's the prince. apparently they had some big ceremony before i was born.",
1,2,3,13,what?,
1,2,3,21,"easy rach, we'll find it. won't we! chandler and",[to all]
1,2,3,29,you didn't.,
1,2,3,31,i gave you one job!,[starts to examin the lasagne through the bottom of the glass pan.]
1,2,3,34,i just... can't do it.,[puts down the lasagne]
1,2,3,37,wow. that is not a happy hi.,
1,2,3,40,w-w-wh-... wha-... w-w-w-...,
1,2,3,46,what does she mean by 'involved'?,
1,2,4,1,curry.,
1,2,4,7,"i'm sorry, why is this girl going to call me?",
1,2,4,9,"no mom, i don't have a restaurant, i work in a restaurant.",
1,2,4,11,"ross, could you come and help me with the spaghetti, please?",
1,2,4,14,"i know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? because i think it might take some of the heat off me.","[time lapse, everyone is now eating.]"
1,2,4,18,what's that supposed to mean?,
1,2,4,20,no it's not.,
1,2,4,24,"so, ross, what's going on with you? any stories? no news, no little anecdotes to share with the folks?",[trying desperately to change the subject] [digs her elbow into his hand.]
1,2,5,2,"boy, i know they say you can't change your parents,... boy, if you could- -i'd want yours.",[to ross]
1,2,5,10,"chandler, you're an only child, right? you don't have any of this.",
1,2,11,7,mm-hmm.,[welling up]
1,2,11,9,no.,
1,2,11,11,am not!,
1,2,11,13,oh shut up!,[pushes him and starts to cry]
1,3,1,6,"uh, no. loosely translated 'we should do this again' means 'you will never see me naked'.",
1,3,1,15,"uh, ross.",
1,3,3,0,"no, no, no. they say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger.",[the guys stretch out their fingers.]
1,3,3,8,what did they do to you?,
1,3,3,18,we're with you. we got it.,[chandler leans over the back of the couch out of sight.]
1,3,3,21,hey. whaddya doing?,[puling him up] [chandler tries to shrug nonchalantly but eventually he has to exhale a mouthful of smoke.]
1,3,3,32,"alright. i'm gonna go change, i've got a date.",
1,3,3,34,"'s'going pretty good, y'know? it's nice, and, we're having fun.",
1,3,3,36,"let's see, today's monday... never.",
1,3,3,38,no. not after what happened with steve.,
1,3,3,40,"look, i don't even know how i feel about him yet. just give me a chance to figure that out.",
1,3,3,42,nope. schhorry.,
1,3,4,0,"i mean, why should i let them meet him? i mean, i bring a guy home, and within five minutes they're all over him. i mean, they're like- coyotes, picking off the weak members of the herd.",
1,3,4,2,"i know. i just wish that once, i'd bring a guy home that they actually liked.",
1,3,5,2,do you all promise?,
1,3,5,4,chandler? do you promise to be good?,[shouts to chandler] [chandler makes a 'cross my heart' sign. it starts to rain and he taps on the window.]
1,3,5,9,hey. it's him. who is it?,[on the intercom]
1,3,5,12,"okay, please be good, please . just remember how much you all like me.",[to all] [she opens the door and alan enters.]
1,3,5,13,"hi. alan, this is everybody. everybody, this is alan.",
1,3,5,17,"thanks. i'll call you tomorrow. okay. okay, let's let the alan-bashing begin. who's gonna take the first shot, hmm?","[to alan] [alan exits, to all] [silence.]"
1,3,5,18,c'mon!,
1,3,5,21,wait a minute! we're talking about someone that i'm going out with?,
1,3,5,31,really!,
1,3,6,0,hi.. how was the game?,
1,3,6,3,fantastic! i have one question how is that possible?,
1,3,6,8,can i ask you guys a question? d'you ever think that alan is maybe.. sometimes..,
1,3,6,10,"..i dunno, a little too alan?",
1,3,10,9,"oh, why is it unfair?",
1,3,11,0,did you ever go out with a guy your friends all really like?,
1,3,11,2,"okay.. well, i'm going out with a guy my friends all really like.",
1,3,11,4,"can you believe it? ...y'know what? i just don't feel the thing . i mean, they feel the thing, i don't feel the thing.",
1,3,11,6,i know.. it's gonna be really hard.,
1,3,11,8,"no, he'll be fine. it's the other five i'm worried about.",
1,3,13,2,hey. where's joey?,[entering]
1,3,13,5,thanks.,[goes to fetch him.]
1,3,13,15,nothing. i just think it's nice when we're all here together.,
1,3,13,19,okay..,[turns off the tv]
1,3,13,21,"please, guys, we have to talk.",
1,3,13,23,"alright, we have to talk.",
1,3,13,25,"okay. it's-it's about alan. there's something that you should know. i mean, there's really no easy way to say this.. uh.. i've decided to break up with alan.",[they all gasp and clutch each other.]
1,3,13,27,"no, nononono.. it's just.. things change. people change.",
1,3,13,31,"look, i- i could go on pretending-",
1,3,13,33,"-but that wouldn't be fair to me, it wouldn't be fair to alan- it wouldn't be fair to you!",
1,3,13,35,i'm sorry..,
1,3,13,38,i'll meet somone else. there'll be other alans.,
1,3,13,40,are you guys gonna be okay?,
1,3,13,42,i understand.,[dubious]
1,3,14,1,"i'm, i'm really sorry.",
1,3,14,3,relieved?,
1,3,15,2,hi.,[entering]
1,3,15,5,"oh, y'know..",
1,3,15,7,he said he's really gonna miss you guys.,[dubious look]
1,4,1,0,alright. phoebe?,
1,4,1,6,"hey, joey, what would you do if you were omnipotent?",
1,4,1,8,..excuse me?,
1,4,2,0,how does she do that?,
1,4,2,2,would you look at her? she is so peaceful.,
1,4,2,5,what's going on with you?,
1,4,2,9,"well, if you want, you can stay with rachel and me tonight.",
1,4,2,21,"oh, i was hoping you wouldn't remember.",
1,4,2,35,"wow, you worked in a mine?",
1,4,2,41,"yeah, yeah.",
1,4,2,46,oh my god! i swear i've seen birds do this on wild kingdom,"[rachel, leslie, kiki, and joanne all scream and hug each other. monica [to phoebe]"
1,4,5,0,"hey, rach. how was it with your friends? okay! how would you like some tiki death punch?",[she and phoebe scream.] [she pours the contents of the blender into some glasses.]
1,4,5,2,"weeeell, it's rum, and-",
1,4,5,4,"we thought since phoebe was staying over tonight we'd have kinda like a slumber party thing. we got some trashy magazines, we got cookie dough, we got twister ...",[the phone rings and monica answers it.]
1,4,5,6,"uh, rach, it's the visa card people.",
1,4,5,8,"could you please tell me what this is in reference to? yes, hold on. um, they say there's been some unusual activity on your account.",[on phone] [listens] [to rachel]
1,4,5,10,"that is the unusual activity. look, they just wanna see if you're okay.",
1,4,5,12,"uh- rachel has left the building, can you call back?",[pauses then on the phone]
1,4,7,0,you should feel great about yourself! you're doing this amazing independence thing!,
1,4,7,5,"ah, the other jack.",
1,4,7,12,"so what, you're not the only one. i mean, half the time we don't know where we're going. you've just gotta figure at some point it's all gonna come together, and it's just gonna be... un-floopy.",
1,4,7,15,...pheebs?,
1,4,10,1,"no, you were right. i don't have a plan.",[there's a knock on the door.]
1,4,10,4,phoebe?,
1,4,10,6,do you have a plan?,
1,4,10,11,wait! did you say 'g.stephanopoulos?',[leaping off of the couch and runs up]
1,4,10,13,"wait, was this a-a small mediterranean guy with curiously intelligent good looks?",
1,4,10,15,was he wearing a stunning blue suit?,
1,4,10,18,oh god.,[staggered]
1,4,10,20,are you nuts?! we've got george stephanopoulos' pizza!,"[rachel pays him, monica grabs some binoculars, and runs to the window.]"
1,4,10,23,i see pizza!,
1,4,10,26,"white house adviser? clinton's campaign guy? the one with the great hair, sexy smile, really cute butt?",
1,4,10,29,please tell me it's his mother.,
1,4,10,31,"oh, no...",
1,4,12,0,light still out?,
1,4,12,2,oh. maybe they're- napping.,
1,4,12,6,i think he's shy.,
1,4,12,8,yeah. i think you have to draw him out. and then- when you do- he's a preppy animal.,
1,4,14,0,"okay. okay, i got one. do you remember that vegetarian pate that i made that you loved so much?",
1,4,14,2,"well, unless goose is a vegetable...ha haaaah!",
1,4,14,4,what?! you slept with jason?,
1,4,14,8,"oh, that's nice!",
1,4,14,10,excuse me?!,
1,4,14,12,"really. well, at least 'big girls' don't pee in their pants in seventh grade!",
1,4,14,15,where?,
1,4,14,18,"oh, george, baby, drop the towel!",
1,4,16,0,"doing the spinning] okay, monica right foot red.",
1,4,16,1,"could've played monopoly , but nooooo.","[there's a knock on the door, chandler opens it, and silently hands back the cushion.]"
1,5,1,0,would you let it go? it's not that big a deal.,
1,5,2,5,"chandler, nobody likes breaking up with someone. you just gotta do it.",
1,5,2,12,"oh, you're breaking up with tony?",
1,5,2,21,"did he give you that whole ""you're-not-up-to-this"" thing again?",
1,5,2,26,"wow, being dumped by you obviously agrees with her.",
1,5,3,1,forget it. not after your cousin who could belch the alphabet.,
1,5,3,3,"oh, god help us.",[looking out window]
1,5,3,5,ugly naked guy's laying kitchen tile. eww!,
1,5,3,7,what's going on here? you go out with tons of girls.,
