season,episode,scene,quote_index,line,extra
1,1,1,43,"oh god monica hi! thank god! i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",
1,1,1,46,"hi, sure!",
1,1,1,49,"oh god... well, it started about a half hour before the wedding. i was in the room where we were keeping all the presents, and i was looking at this gravy boat. this really gorgeous lamauge gravy boat. when all of a sudden- sweet 'n' lo?- i realized that i was more turned on by this gravy boat than by barry! and then i got really freaked out, and that's when it hit me how much barry looks like mr. potato head. y'know, i mean, i always knew looked familiar, but... anyway, i just had to get out of there, and i started wondering 'why am i doing this, and who am i doing this for?'. so anyway i just didn't know where to go, and i know that you and i have kinda drifted apart, but you're the only person i knew who lived here in the city.",[to the waitress that brought her coffee] [to monica]
1,1,1,51,"ooh, i was kinda hoping that wouldn't be an issue...",
1,1,2,3,"daddy, i just... i can't marry him! i'm sorry. i just don't love him. well, it matters to me!","[on phone] [the scene on tv has changed to show two women, one is holding her hair.]"
1,1,2,8,"c'mon daddy, listen to me! it's like, it's like, all of my life, everyone has always told me, 'you're a shoe! you're a shoe, you're a shoe, you're a shoe!'. and today i just stopped and i said, 'what if i don't wanna be a shoe? what if i wanna be a- a purse, y'know? or a- or a hat! no, i'm not saying i want you to buy me a hat, i'm saying i am a ha- it's a metaphor, daddy!",
1,1,2,10,"look daddy, it's my life. well maybe i'll just stay here with monica.",
1,1,2,12,"well, maybe that's my decision. well, maybe i don't need your money. wait!! wait, i said maybe!!","[time lapse, rachel is breating into a paper bag.]"
1,1,2,15,i'm all better now.,
1,1,2,32,"please, no, go, that'd be fine!",
1,1,2,50,"well, i was kinda supposed to be headed for aruba on my honeymoon, so nothing!",
1,1,2,53,"well actually thanks, but i think i'm just gonna hang out here tonight. it's been kinda a long day.",
1,1,6,0,"barry, i'm sorry... i am so sorry... i know you probably think that this is all about what i said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and i ju- hi, machine cut me off again... anyway... look, look, i know that some girl is going to be incredibly lucky to become mrs. barry finkel, but it isn't me, it's not me. and not that i have any idea who me is right now, but you just have to give me a chance too...",[she stops talking and dials the phone.] [the maching cuts her off again and she redials.]
1,1,9,1,oh...see... but joanne loved chachi! that's the difference!,
1,1,11,0,"isn't this amazing? i mean, i have never made coffee before in my entire life.",
1,1,11,3,"y'know, i figure if i can make coffee, there isn't anything i can't do.",
1,1,11,10,"hello, paul.",
1,1,11,21,"so, like, you guys all have jobs?",
1,1,11,24,wow! would i have seen you in anything?,
1,1,11,33,i can see that. you look like you slept with a hanger in your mouth.,
1,1,11,35,"oh, yeah.",
1,1,11,37,oh wow. are you in trouble.,
1,1,11,39,want a wedding dress? hardly used.,
1,1,11,41,"oh, look, wish me luck!",
1,1,11,43,i'm gonna go get one of those job things.,[thinks] [monica exits.]
1,1,13,9,guess what?,
1,1,13,11,are you kidding? i'm trained for nothing! i was laughed out of twelve interviews today.,
1,1,13,13,"you would be too if you found john and david boots on sale, fifty percent off!",
1,1,13,15,"they're my new 'i don't need a job, i don't need my parents, i've got great boots' boots!",
1,1,13,17,"uh, credit card.",
1,1,13,19,um... my... father.,
1,1,14,0,"oh god, come on you guys, is this really necessary? i mean, i can stop charging anytime i want.",
1,1,14,2,i know that. that's why i was getting married.,
1,1,14,4,thank you.,
1,1,14,8,"no. no, no, i'm not ready! how can i be ready? ""hey, rach! you ready to jump out the airplane without your parachute?"" come on, i can't do this!",
1,1,14,10,i don't think so.,
1,1,14,14,y'know what? i think we can just leave it at that. it's kinda like a symbolic gesture...,
1,1,14,23,"hey mon, look what i just found on the floor. what?",[monica smiles.]
1,1,14,25,d rachel goodnight.,[monica stomps on paul's watch and goes into her room.]
1,1,14,27,sorry-,
1,1,14,29,"no, you have it, really, i don't want it-",
1,1,14,31,okay.,
1,1,14,33,i knew.,
1,1,14,35,i did.,
1,1,14,37,"yeah, maybe...",
1,1,14,39,goodnight.,
1,1,15,10,would anybody like more coffee?,[walks up with a pot of coffee]
1,1,15,12,i'm just serving it.,
1,1,15,16,"ugh. excuse me, could you give this to that guy over there? go ahead. thank you. sorry. okay, las vegas.",[to another customer that's leaving.] [hands him the coffee pot.] [he does so.] [to the gang.]
1,2,1,3,everything you need to know is in that first kiss.,
1,2,1,8,"yeah, well, word of advice bring back the comedian. otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",
1,2,3,16,has anybody seen my engagement ring?,
1,2,3,18,"oh god, oh god, oh god oh god oh god oh god....",[starts to look under the couch cushions.]
1,2,3,20,"oh, like i wasn't dreading tomorrow enough, having to give it back to him... 'hi barry! remember me? i'm the girl in the veil who stomped on your heart in front of your entire family!' oh god and now i'm gonna have to return the ring, without the ring, which makes it so much harder...",
1,2,3,26,"i know i had it this morning, and i know i had it when i was in the kitchen with...",
1,2,3,28,"ohhhhh, don't be mad...",[looks at the lasagne and realizes something]
1,2,3,30,"oh, i am sorry...",
1,2,3,32,"oh, but look how straight those noodles are!",
1,2,3,43,"well now, how-how do you fit into this whole thing?",
1,2,3,49,so what are you gonna do?,
1,2,5,5,you're twins?,
1,2,5,9,"all right, you guys, i kinda gotta clean up now.",[they all start to leave.]
1,2,5,12,"the lights, please..","[joey turns off the lights, and they all leave as rachel starts to clean up. ross enters from the bathroom.]"
1,2,5,14,i'm just cleaning up.,
1,2,5,16,"uh.. okay, sure! thanks!",[she hands him the broom and sits down.]
1,2,5,18,oh.. a little..,
1,2,5,20,a lot.,
1,2,5,22,"so, got any advice? y'know, as someone who's recently been- dumped?",
1,2,5,24,"oh, you've got carol tomorrow.. when did it get so complicated?",
1,2,5,26,remember when we were in high school together?,
1,2,5,28,"i mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? ..ross?",[ross gazes at her.]
1,2,5,30,"oh! man, i never thought i'd be here..",[she leans back onto his hand.]
1,2,7,0,barry?,
1,2,7,2,are you sure?,[hesitates]
1,2,7,6,i'm- uh- i'm okay... you look great!,
1,2,7,10,i dumped him.,
1,2,9,1,"oh, not much. i-i got a job.",
1,2,9,3,why are- why are you so tanned?,
1,2,9,5,oh no. you went on our honeymoon alone?,
1,2,9,9,"mindy?! my maid of honour, mindy?!",
1,2,9,11,"oh! well, um.. you've got plugs!",[grabs his forehand]
1,2,9,13,and you've got lenses! but you hate sticking your finger in your eye!,
1,2,9,15,okay..,
1,2,9,17,wow.,
1,2,9,19,what?,
1,2,9,21,"anyway, um, i guess this belongs to you. and thank you for giving it to me.",[gets the ring out of her purse.]
1,2,11,14,"hi, mindy. hi, it-it's rachel. yeah, i'm fine. i-i saw barry today. oh, yeah, yeah he-he told me. no, no, it's okay. i hope you two are very happy, i really do. oh, oh, and mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- i just hope they have his old hairline and your old nose. okay, i know it was a cheap shot, but i feel so much better now.",[on phone] [slams the phone down.] [to everyone]
1,3,1,5,"what? he said 'we should do it again', that's good, right?",
1,3,1,7,since when?,
1,3,1,11,and everybody knows this?,
1,3,3,3,"alright, don't tell me, don't tell me! decaf cappucino for joey.. coffee black.. late.. and an iced tea. i'm getting pretty good at this!",[carrying a tray of drinks] [starts handing them out.]
1,3,3,5,good for me!,[leaving to serve others] [the gang swaps all the drinks for what they ordered as phoebe enters. she sits down without saying hi.]
1,3,3,16,"yeah, but if you spent it, it would be like shopping!",
1,3,3,20,"chandler, what are you doing?",
1,3,3,33,this alan again? how's it goin'?,
1,3,3,41,"well, then can we meet him?",
1,3,5,8,what bank is this?,[the intercom buzzes.]
1,3,5,23,and did you notice...?,[she spreads her thumb and index finger.]
1,3,5,30,"what future boyfriends? nono, i th- i think this could be, y'know, it.",
1,3,6,6,"i mean, it-it was like, it was like he made us into a team.",
1,3,6,11,"well, no. that's impossible. you can never be too alan.",
1,3,10,7,it's worse than the thumb!,
1,3,10,12,"well, i-i could live without it.",
1,3,10,17,"""indeed there isn't""... i should really get back to work.",
1,3,10,19,"ohh-ho-hooohhh. the hair comes out, and the gloves come on.","[they degenerate into bickering and chandler happily starts to smoke, undisturbed.]"
1,3,12,3,"chandler? it's alan, he wants to speak to you.",[holding the phone out to chandler]
1,3,12,5,"god, he's good.","[to ross, who has wandered up]"
1,3,12,7,yeah.,[they give each other a dubious look.]
1,3,13,4,i think he's across the hall.,
1,3,13,17,"uh, joey..",
1,3,13,28,we didn't change..,
1,3,13,37,"i just can't believe this! i mean, with the holidays coming up- i wanted him to meet my family-",[tearful]
1,3,15,0,remember when we went to central park and rented boats?.. that was fun.,
1,4,1,4,"see, there's always one guy. ""if i had a wish, i'd wish for three more wishes.""",[mocking] [joey enters.]
1,4,2,33,"look-look-look-look-look, my first pay check! look at the window, there's my name! hi, me!",
1,4,2,37,"god, isn't this exciting? i earned this. i wiped tables for it, i steamed milk for it, and it was totally— —not worth it. who's fica? why's he getting all my money? i mean, what- chandler, look at that.",[opens envelope]
1,4,2,47,what are you guys doing here?,
1,4,2,50,"look at you, you are so big i can't believe it!",[to a pregnant leslie]
1,4,2,52,so what's going on with you?,[to joanne]
1,4,4,0,"so c'mon, you guys, tell me all the dirt!",
1,4,4,3,okay.,
1,4,4,5,"what? guys, i'm not.",
1,4,4,7,i'm not! this is what i'm doing now. i've got this job-,
1,4,4,9,"okay, i'm not just waitressing. i'm.. i, um... i write the specials on the specials board, and, uh... and i, uh... i take the uh dead flowers out of the vase... oh, and, um, sometimes artelle lets me put the little chocolate blobbies on the cookies.",
1,4,5,1,what's that?,
1,4,5,3,okay.,[grabs the blender and starts to drink.]
1,4,5,7,"oh, god, ask them what they want.",
1,4,5,9,but i haven't used my card in weeks!,
1,4,5,11,"they wanna know if i'm okay. okay.. they wanna know if i'm okay, okay, let's see. well, let's see, the fica guys took all my money, everyone i know is either getting married, or getting promoted, or getting pregnant, and i'm getting coffee! and it's not even for me! so if that sounds like i'm okay, okay, then you can tell them i'm okay, okay?",
1,4,5,13,"alright, c'mon! let's play twister !",[miserably]
1,4,7,1,"monica, what is so amazing? i gave up, like, everything. and for what?",
1,4,7,3,...jack from downstairs?,
1,4,7,7,"okay, but pheebs, pheebs, jack gave up a cow, i gave up an orthodontist. okay, i-i-i know, i know i didn't love him-",
1,4,7,9,"but see, it was a plan. y'know, it was clear. it was figured out, and now everything's just kinda like...",
1,4,7,11,yeah.,
1,4,7,14,"okay, but monica, what if- what if it doesn't come together?",
1,4,7,17,"okay, see, see, you guys, what if we don't get magic beans? i mean, what if all we've got are.. beans?",
1,4,10,0,"i'm so sorry, you guys. i didn't mean to bring you down.",
1,4,10,3,thank god. food.,[she goes to answer the door.]
1,4,10,9,"no, no, that's not what we ordered... we ordered a fat-free crust with extra cheese.",[miserably]
1,4,10,21,"uh, pheebs? who's george snuffalopagus?",
1,4,10,25,hello? who are we spying on?,
1,4,10,27,"oh, him, the little guy? oh, i love him!",
1,4,12,1,yeah.,
1,4,12,3,"oh please, they're having sex.",
1,4,12,5,"so, whaddya think george is like?",
1,4,14,6,how long?,
1,4,14,9,"okay, okay, okay, i got one! anyway- the valentine tommy rollerson left in your locker was really from me.",[she sits up and the cushion she was leaning against falls off of the balcony.]
1,4,14,11,hello? like he was really gonna send you one? she was a big girl,[to phoebe]
1,4,14,13,i was laughing! you made me laugh!,[monica and rachel start to squabble]
1,4,14,17,he is so cute!,
1,4,16,5,"oh, okay. will you take my place?",
1,4,16,7,"nooo! hello? oh, yeah, no, i know, i-i haven't been using it much. oh, well, thanks, but, i'm okay, really.",[she grabs the phone and chandler takes her place on the mat.] [on phone] [listens] [listens]
1,4,16,9,i've got magic beans. never-never mind.,[on phone] [listens]
1,4,16,11,ohhh... i'm fine.,[on phone]
1,5,1,2,come on! you guys can pee standing up.,
1,5,2,14,does anybody want anything else?,[waitressing]
1,5,2,17,it's my father. he wants to give me a mercedes convertible.,
1,5,2,19,"yeah, well, it's a mercedes if i move back home. oh, it was horrible. he called me young lady",
1,5,2,22,"oh, yeah, yeah. actually, i got the extended disco version, with three choruses of ""you'll never make it on your own"".",
1,5,2,34,"oh, big glamour night. me and monica at laundorama.",
1,5,2,36,who?,
1,5,2,38,don't you have a laundry room in your building?,
1,5,2,40,sure.,[cut back to joey and angela at the counter.]
1,5,7,1,"oh, 'scuse me. i was kinda using that machine.",
1,5,7,3,but i saved it. i put my basket on top.,
1,5,7,5,what?,
1,5,7,8,"hi, uh, nothing. that horrible woman just took my machine.",
1,5,7,10,"yeah, but, there were no suds.",
1,5,7,12,"well, you know, no suds, no save.",
1,5,7,17,that was amazing. i can't even send back soup.,
1,5,7,19,what's that?,
1,5,7,22,"oh god. oh, am i being like a total laundry spaz? i mean, am i supposed to use like one machine for shirts and another machine for pants?",
1,5,7,24,"well, not myself, but i know other people that have. ok, you caught me. i'm a laundry virgin.",
1,5,7,26,"ok, well, what about these are white cotton panties. would they go with whites or delicates?",[holds a pair of panties in front of ross]
1,5,12,0,"ok, i know this is gonna sound really stupid, but i feel that if i can do this, you know, if i can actually do my own laundry, there isn't anything i can't do.",
1,5,12,2,what uh-oh?,
1,5,12,4,"ross, what's the matter?",
1,5,12,6,"come on, show me.",
1,5,12,8,"oh, everything's pink.",
1,5,12,10,"except it didn't. it happened to me. oh, god, i'm gonna look like a big marshmallow peep. what am i doing? what am i doing? my father's right. i can't live on my own! i can't even do laundry!","[the woman who had tried to steal the washing machine walks by, and laughs.]"
1,5,15,1,"oh, i guess. except everything looks like jammies now.",[the same woman walks over and takes rachel's laundry cart.]
1,5,15,2,"whoa, i'm sorry. excuse me. we had this cart.",
1,5,15,4,"i'm sorry, you know, maybe i wasn't being clear. uh, this is our cart.",
1,5,15,6,"hey, hey, hey, hey, quit making up rules!",
1,5,15,8,"all right, listen, missy. if you want this cart, you're gonna have to take me with it!","[she thinks it over, and then walks away.]"
1,5,15,9,yes! did you see that?,[to ross]
1,5,15,11,i could not have done this without you.,[rachel stands up and kisses ross. he is stunned. a moment of silence follows.]
1,5,15,13,are you sure?,
1,5,16,0,"oh, are you sure you're ok?",
1,5,16,2,does it still hurt?,
1,5,16,11,where's chandler?,
1,6,1,0,"ooh! look! look! look! look, there's joey's picture! this is so exciting!",[reading the program]
1,6,2,0,god. i feel violated.,
1,6,2,11,"oh, c'mon. she's a person, you can do it!",
1,6,2,33,what is it?,
1,6,4,0,tah-daaah!,
1,6,4,2,"look! i cleaned! i did the windows, i did the floors... i even used all the attachments on the vacuum, except that little round one with the bristles, i don't know what that's for.",
1,6,4,4,"well, whaddya think?",
1,6,4,9,"i dunno.. i-i thought it looked better there. and i- and also, it's an extra seat around the coffee table.",
1,6,4,22,"okay, uh, you let me go grocery shopping, and i buy laundry detergent, but it's not the one with the easy-pour spout.",
1,6,4,36,"..you're, you're 'mah mah mah' what?",
1,6,5,10,who is being loud?,
1,6,5,14,"ooh, do i sense a little bit of resentment?",
1,6,8,10,"oh, joey, you know what, no-one is gonna be able to tell.",
1,6,8,21,"uh, mon, you-you gonna leave your shoes out here?",
1,6,8,23,really? just casually strewn about in that reckless haphazard manner?,
