season,episode,scene,quote_index,line,extra
1,1,1,17,hi.,[mortified]
1,1,1,20,"i just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",
1,1,1,25,thanks.,
1,1,1,27,"no, no don't! stop cleansing my aura! no, just leave my aura alone, okay?",
1,1,1,29,"i'll be fine, alright? really, everyone. i hope she'll be very happy.",
1,1,1,31,"no i don't, to hell with her, she left me!",
1,1,1,33,"no!! okay?! why does everyone keep fixating on that? she didn't know, how should i know?",
1,1,1,35,"i told mom and dad last night, they seemed to take it pretty well.",
1,1,1,37,sorry.,
1,1,1,40,"i don't want to be single, okay? i just... i just- i just wanna be married again!",[rachel enters in a wet wedding dress and starts to search the room.]
1,1,1,47,hi.,[they go to hug but ross's umbrella opens. he sits back down defeated again. a moment of silence follows as rachel sits and the others expect her to explain.]
1,1,2,2,i'll have whatever christine is having.,[in a deep voice]
1,1,2,9,you can see where he'd have trouble.,
1,1,2,25,"paul the wine guy, paul?",
1,1,2,28,he finally asked you out?,
1,1,2,34,that'd be good...,[choked voice]
1,1,2,36,"no, go on! it's paul the wine guy!",[normal voice]
1,1,2,42,a wandering?,
1,1,2,49,"so rachel, what're you, uh... what're you up to tonight?",
1,1,2,51,"right, you're not even getting your honeymoon, god.. no, no, although, aruba, this time of year... talk about your- -big lizards... anyway, if you don't feel like being alone tonight, joey and chandler are coming over to help me put together my new furniture.",[thinks]
1,1,2,54,"okay, sure.",
1,1,4,0,"i'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. i have no brackety thing, i see no whim guys whatsoever and- i cannot feel my legs.",[squatting and reading the instructions] [joey and chandler are finishing assembling the bookcase.]
1,1,4,9,"this was carol's favorite beer. she always drank it out of the can, i should have known.",[clutching a beer can and sniffing]
1,1,4,13,you guys.,
1,1,7,0,i'm divorced! i'm only 26 and i'm divorced!,
1,1,7,3,that only took me an hour.,
1,1,7,5,"you know what the scariest part is? what if there's only one woman for everybody, y'know? i mean what if you get one woman- and that's it? unfortunately in my case, there was only one woman- for her...",
1,1,7,7,i honestly don't know if i'm hungry or horny.,
1,1,10,0,"grab a spoon. do you know how long it's been since i've grabbed a spoon? do the words 'billy, don't be a hero' mean anything to you?",[scornful]
1,1,10,4,"y'know, here's the thing. even if i could get it together enough to- to ask a woman out,... who am i gonna ask? commercial break",[he gazes out of the window.] [cut to rachel staring out of her window.]
1,1,13,2,i assume we're looking for an answer more sophisticated than 'to get you into bed'.,
1,1,13,10,you got a job?,
1,1,14,6,the word you're looking for is 'anyway'...,
1,1,14,11,"come on, you made coffee! you can do anything!",[chandler slowly tries to hide the now dead plant from that morning when he and joey poured their coffee into it.]
1,1,14,12,"c'mon, cut. cut, cut, cut,...",
1,1,14,20,"no. no, i gotta go home sometime.",
1,1,14,22,yeah.,
1,1,14,26,"mmm. oh, no-",[they both reach for the last cookie]
1,1,14,28,"no no no, go-",
1,1,14,30,split it?,
1,1,14,32,"okay. you know you probably didn't know this, but back in high school, i had a, um, major crush on you.",[they split it.]
1,1,14,34,you did! oh.... i always figured you just thought i was monica's geeky older brother.,
1,1,14,36,"oh. listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if i asked you out? sometime? maybe?",
1,1,14,38,"okay... okay, maybe i will...",
1,1,14,40,goodnight.,[rachel goes into her room and monica enters the living room as ross is leaving.]
1,1,14,42,i just grabbed a spoon.,[ross exits and monica has no idea what that means.]
1,1,15,9,there's an image.,
1,2,1,6,"yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",
1,2,2,0,"no, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",
1,2,2,2,does she.,
1,2,2,4,"marsha, these are cave people. okay? they have issues like 'gee, that glacier's getting kinda close.' see?",
1,2,2,6,no. no.,[trying to ignore her]
1,2,2,8,"okay, okay, yes, it is. how about i'll, uh, catch up with you in the ice age.",[waves] [marsha extis and ross waves carol into the exhibit.]
1,2,2,9,hi.,
1,2,2,11,"you look great. i, uh... i hate that.",
1,2,2,13,"ah, well, in here, anyone who... stands erect... so what's new? still, uh...",
1,2,2,15,"well... you never know. how's, um.. how's the family?",
1,2,2,17,"why- why are you here, carol?",
1,2,2,19,pregnant?!,
1,2,3,36,.....hi.,[standing outside the door]
1,2,3,38,carol's pregnant.,
1,2,3,41,"yeah. do that for another two hours, you might be where i am right about now.",[he enters.]
1,2,3,44,"well, carol says she and susan want me to be involved, but if i'm not comfortable with it, i don't have to be involved.. basically it's entirely up to me.",
1,2,3,48,"anyway, they want me to go down to this- sonogram thing with them tomorrow.",
1,2,3,50,"i have no idea. no matter what i do, though, i'm still gonna be a father.",[joey starts to eat the rest of the lasagne and everyone turns and stares at him.]
1,2,4,3,"i- i think they're great! i, i really do.",
1,2,4,6,"aw, mom...",
1,2,4,12,yeah.,[they go to the kitchen.]
1,2,4,25,"okay! okay. look, i, uh- i realise you guys have been wondering what exactly happened between carol and me, and, so, well, here's the deal. carol's a lesbian. she's living with a woman named susan. she's pregnant with my child, and she and susan are going to raise the baby.",[pulls his hand away] [to his parents] [stunned silence ensues.]
1,2,5,1,"well, y'know, these people are pros. they know what they're doing, they take their time, they get the job done.",
1,2,5,3,must pee.,[goes to pee.]
1,2,5,13,...how long was i in there?,
1,2,5,15,d'ya.. uh.. d'ya need any help?,
1,2,5,17,"anyway.. um.. so, you- uh- you nervous about barry tomorrow?",[starts to sweep.]
1,2,5,19,mm-hmm..,
1,2,5,21,mm.,
1,2,5,23,"well, you may wanna steer clear of the word 'dumped'. chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, i know it'll be hard. or, y'know, uh, hey!, i'll go down there, and i'll give barry back his ring, and you can go with carol and susan to the ob/gyn...",
1,2,5,25,got me.,
1,2,5,27,yeah.,
1,2,5,29,"yes, yes!",
1,2,5,31,me either...,[he pulls up a stool so that he doesn't have to move his hand.]
1,2,6,0,"sorry i'm late, i was stuck at work. there was this big dinosaur.. thing.. anyway.",[entering] [susan enters holding a drink.]
1,2,6,3,how could i forget?,
1,2,6,5,"hello, susan. good shake. good shake. so, uh, we're just waiting for...?",[they shake hands] [to carol]
1,2,6,7,..dr. oberman. okay. and is he-,
1,2,6,9,"-she, of course, she- uh- familiar with our.. special situation?",
1,2,6,11,"okay, that's great. no, i'm- oh.",[susan gives her drink to carol.]
1,2,6,13,"quack, quack..",[picks up a surgical instrament and mimes a duck with it]
1,2,8,0,"so, um- so how's this, uh, how's this gonna work? y'know, with us? y'know, when, like, important decisions have to be made?",
1,2,8,2,"well, uh, uh, i don't know, okay, okay, how about with the, uh, with the baby's name?",
1,2,8,4,marlon?!,
1,2,8,6,...as in mouse?,
1,2,8,8,"still, you- you say minnie, you hear mouse. um, how about, um.. how about julia?",
1,2,8,11,"'s'funny, um, uh, we agreed we'd spend the rest of our lives together. things change, roll with the punches. i believe julia's on the table..?",
1,2,10,1,helen geller? i don't think so.,
1,2,10,3,thank you!,
1,2,10,5,"what, it's gonna be helen willick?",
1,2,10,7,"well, wait a minute, wha- why is she in the title?",
1,2,10,9,"oh, 's'funny, really? um, i don't remember you making any sperm.",
1,2,10,12,"no no no, she gets a credit, hey, i'm in there too.",
1,2,10,14,"of course not, i'm... suggesting geller-willick-bunch.",
1,2,10,16,"my way?! you-you think this is my way? believe me, of all the ways i ever imagined this moment in my life being, this is not my way- y'know what? uh, um, this is too hard. i'm not, i can't do-",
1,2,10,20,"you- uh- y'know what, i'm gonna go. i don't- i don't think i can be involved in this particular thing right now.","[he turns to go, but the sound of the sonogram catches hes ear. he returns and stares at it.]"
1,2,10,21,oh my god.,
1,2,11,0,well? isn't that amazing?,
1,2,11,4,"then don't do that, alright?",
1,2,11,6,monica. whaddya think?,[walks over to where monica is standing]
1,2,11,8,wh- are you welling up?,
1,2,11,10,"you are, you're welling up.",
1,2,11,12,you're gonna be an aunt.,
1,3,1,2,"hey. oh, oh, how'd it go?",
1,3,1,14,"that's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",
1,3,1,16,"what? wh- hello? the millners' farm in connecticut? the millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....oh my god, chi chi!",
1,3,3,2,can i use.. either thumb?,
1,3,3,10,easy.,
1,3,3,23,what is this?!,
1,3,3,27,"hold on a second, alright? just think about what you went through the last time you quit.",
1,3,5,1,"yeah, well, you didn't know chi chi.",
1,3,5,6,"hey, pheebs.",
1,3,5,19,"...i'll go. let's start with the way he kept picking at- no, i'm sorry, i can't do this, can't do this. we loved him.",
1,3,5,27,...what shoe?,
1,3,5,29,...so i think alan will become the yardstick against which all future boyfriends will be measured.,
1,3,5,33,"you know what i like most about him, though?",
1,3,5,35,the way he makes me feel about myself.,
1,3,6,1,well..,
1,3,6,5,"he was unbelievable. he was like that-that-that bugs bunny cartoon where bugs is playing all the positions, right, but instead of bugs it was first base-alan, second base-alan, third base-...",
1,3,6,9,what?,
1,3,6,12,"yeah, it's his, uh, innate alan-ness that-that-that we adore.",
1,3,10,0,a thumb ?!,[phoebe nods.]
1,3,10,14,"oh, now, don't listen to him, pheebs, i think it's endearing.",
1,3,10,16,"you know, there's nothing wrong with speaking correctly.",
1,3,12,1,don't you realise what you're-you're doing to yourself?,
1,3,12,6,if only he were a woman.,
1,3,13,1,okay. i think it's time to change somebody's nicotine patch.,[does so.]
1,3,13,6,there y'go.,[finishing changing chandler's nicotine patch]
1,3,13,8,"hey pheebs, you gonna have the rest of that pop-tart?.. pheebs?",
1,3,13,10,"hey, i might!",
1,3,13,26,is there somebody else?,
1,3,13,34,"who-who wants fair? y'know, i just want things back. y'know, the way they were.",
1,3,13,41,"hey hey, we'll be fine. we're just gonna need a little time.",
1,3,15,1,yeah. he could row like a viking.,
1,3,15,4,so how'd it go?,
1,3,15,8,"you had a rough day, huh.. c'mere.",[she sits down and ross strokes her forehead.]
1,4,1,2,"yeah, see.. you took mine. chandler, what about you?",
1,4,1,10,"joey, uh- om nipotent.",
1,4,2,1,i cannot sleep in a public place.,
1,4,2,4,"it's okay, y'know, you just nodded off again.",
1,4,2,7,why?,
1,4,2,16,"funny, my birthday was seven months ago.",
1,4,2,18,"so, i'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date?",
1,4,2,20,"oh my god, oh- is today the twentieth, october twentieth?",
1,4,2,22,ohhh.,
1,4,2,25,"today's the day carol and i first.. consummated our physical relationship. sex. ..you know what, i-i'd better pass on the game. i think i'm just gonna go home and think about my ex-wife and her lesbian lover.",[joey is puzzled.]
1,4,2,28,what are you doing?,
1,4,2,31,"alright, alright, maybe it'll take my mind off it. do you promise to buy me a big thumb finger?",
1,4,2,40,"you can totally, totally live on this.",
1,4,2,42,"oh, by the way, great service tonight.",
1,4,3,3,"carol was wearing boots just like those the night that we- we first- y'know. fact, she, uh- she never took'em off, 'cause we-we- sorry. sorry.",[off chandler's look] [they walk on. chandler and joey start to talk but ross stops and whines.]
1,4,3,5,peach pit.,
1,4,3,7,"peach pit. that night we, uh- we had-",[points]
1,4,3,9,"actually, nectarines, but basically...",
1,4,3,11,"then, uh, then we got dressed, and i-i... i walked her to the- -the bus stop... i'm fine.","[looks up, realises, and points]"
1,4,6,0,"sorry, sorry... uh-oh.",[squeezing past people]
1,4,6,2,"no, actually i was just saying it looks like we're not sitting together. but now you mention it, there was ice there that night... it was the first frost...",
1,4,8,0,"get him! get him! get him! get- yesss! not laughing now, are ya pal!",
1,4,8,2,pass it! pass it!,
1,4,9,4,"look, i don't wanna make any trouble, okay, but i'm in a lot of pain here, alright? my face is dented",[jumping to his feet]
1,4,9,8,"hey, this- heyy...",[she gives him a look and the guys back off]
1,4,13,0,i remember the moonlight coming through the window- and her face had the most incredible glow.,
1,4,13,3,"look, it's just a little more complicated...",
1,4,13,5,"little louder, okay, i think there's a man on the twelfth floor in a coma that didn't quite hear you...",
1,4,13,7,my first time with carol was...,[he mumbles the last part]
1,4,13,9,it was my first time,
1,4,15,5,hi.,[he is wearing a piece of steel bandaged to his nose. he tosses some forms onto reception desk.]
1,4,15,8,"fun? where was the fun? tell me specifically, which part was the fun part? where's my puck?",
1,4,15,10,"the kid...? excuse me, uh, that's, that's my puck.",[to the kid]
1,4,15,13,"oh yeah? well, i'm rubber, you're glue, whatever— —can't do it. listen, uh- gimme back my puck.",[to the kid] [to chandler] [to the kid]
1,4,15,15,"'yes', how about. c'mere. gimme!",
1,4,15,18,give me my puck!!,[tries to snatch it from the kid] [but it files out of his grasp and knocks out the receptionist]
1,4,15,19,...now that was fun.,
1,4,16,3,"okay, pheebs right hand blue. good.",[phoebe has to bend over.] [joey stares at her butt appreciatively] [the phone rings and chandler answers it.]
1,4,16,8,green. to the green.,
1,5,1,1,"not that big a deal? it's amazing. ok, you just reach in there, there's one little maneuver, and bam, a bra right out the sleeve. all right, as far as i'm concerned, there is nothing a guy can do that even comes close. am i right?",
1,5,1,6,multiple orgasms!,
1,5,2,3,"not even, say, breaking up with janice?",
1,5,2,11,tony?,
1,5,2,15,"oh, yeah, last week you had a wonderful, nutty, chocolatey kind of a cakey pie thing. nothing, just, just, i'm fine.",[rachel gives him a dirty look]
1,5,2,18,"that guy, he burns me up.",
1,5,2,33,"so, uh, rachel, what are you, uh, what're you doing tonight?",
1,5,2,35,"oh, you uh, you wanna hear a freaky coincidence? guess who's doing laundry there too?",
1,5,2,37,"me. was that not clear? hey, why don't, um, why don't i just join you both, here?",
1,5,2,39,"yes, i do have a laundry room in my building, um, but there's a.... rat problem. apparently they're attracted to the dryer sheets, and they're goin' in fine, but they're comin' out all.... fluffy. anyway, say, sevenish?",
1,5,4,0,"ok, bye. well, monica's not coming, it's just gonna be me and rachel.",[on phone] [hangs up]
1,5,4,2,it's laundry. the thinking through is minimal.,
1,5,4,4,nuh-uh.,
1,5,4,6,"so what're you saying here? i should shave again, pick up some wine, what?",
1,5,4,8,no.,[sheepish]
1,5,4,10,"ok, ok, now what is wrong with my snuggles ? what, it says i'm a sensitive, warm kinda guy, you know, like a warm, fuzzy bear. ok, i can pick something else up on the way.",
1,5,7,7,what's goin' on?,
1,5,7,9,was your basket on top?,
1,5,7,11,so?,
1,5,7,13,"no suds? excuse me, hold on a second. that's my friend's machine.",[to woman]
1,5,7,15,"hey, hey, hey, that's not the rule and you know it.",[the woman and ross stare at each other. finally she takes her stuff out of the machine and leaves.]
