epi,ttl,dir,wri,air,code,vie,season,month
1,The Pilot[a],James Burrows,David Crane & Marta Kauffman,1994-09-22,456650,21.5,1,09
2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,1994-09-29,456652,20.2,1,09
3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-10-06,456651,19.5,1,10
4,The One with George Stephanopoulos,James Burrows,Alexa Junge,1994-10-13,456654,19.7,1,10
5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,1994-10-20,456653,18.6,1,10
6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,1994-10-27,456655,18.2,1,10
7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-11-03,456656,23.5,1,11
8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,1994-11-10,456657,21.1,1,11
9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,1994-11-17,456659,23.1,1,11
10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,1994-12-15,456661,19.9,1,12
11,The One with Mrs. Bing,James Burrows,Alexa Junge,1995-01-05,456660,26.6,1,01
12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,1995-01-12,456658,24.0,1,01
13,The One with the Boobies,Alan Myerson,Alexa Junge,1995-01-19,456664,25.8,1,01
14,The One with the Candy Hearts,James Burrows,Bill Lawrence,1995-02-09,456667,23.8,1,02
15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,1995-02-16,456663,24.8,1,02
16,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,456665A,26.1,1,02
17,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,456665B,30.5,1,02
18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,1995-03-02,456662,30.4,1,03
19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,1995-03-09,456668,29.4,1,03
20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,1995-04-06,456669,30.0,1,04
21,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,1995-04-27,456671,28.4,1,04
22,The One with the Ick Factor,Robby Benson,Alexa Junge,1995-05-04,456670,29.9,1,05
23,The One with the Birth,James Burrows,David Crane & Marta Kauffman & Jeff Greenstein & Jeff Strauss,1995-05-11,456672,28.7,1,05
24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,1995-05-18,456673,31.3,1,05
1,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,1995-09-21,457301,32.1,2,09
2,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,1995-09-28,457302,29.8,2,09
3,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,1995-10-05,457303,30.2,2,10
4,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,1995-10-12,457305,28.1,2,10
5,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,1995-10-19,457304,28.3,2,10
6,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,1995-11-02,457306,30.2,2,11
7,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,1995-11-09,457307,30.5,2,11
8,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,1995-11-16,457308,32.9,2,11
9,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,1995-12-14,457309,27.8,2,12
10,The One with Russ,Thomas Schlamme,Ira Ungerleider,1996-01-04,457311,32.2,2,01
11,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,1996-01-18,457312,31.6,2,01
1213,The One After the Superbowl,Michael Lembeck,Jeffrey Astrof & Mike SikowitzMichael Borkow,1996-01-28,457313457314,52.9,2,01
14,The One with the Prom Video,James Burrows,Alexa Junge,1996-02-01,457310,33.6,2,02
15,The One Where Ross and Rachel...You Know,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-02-08,457315,32.9,2,02
16,The One Where Joey Moves Out,Michael Lembeck,Betsy Borns,1996-02-15,457316,31.1,2,02
17,The One Where Eddie Moves In,Michael Lembeck,Adam Chase,1996-02-22,457317,30.2,2,02
18,The One Where Dr. Ramoray Dies,Michael Lembeck,Alexa Junge & Michael Borkow,1996-03-21,457318,30.1,2,03
19,The One Where Eddie Won't Go,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-03-28,457319,31.2,2,03
20,The One Where Old Yeller Dies,Michael Lembeck,Michael Curtis & Gregory S. Malins & Adam Chase,1996-04-04,457320,27.4,2,04
21,The One with the Bullies,Michael Lembeck,Brian Buckner & Sebastian Jones,1996-04-25,457321,24.7,2,04
22,The One with the Two Parties,Michael Lembeck,Alexa Junge,1996-05-02,457322,25.5,2,05
23,The One with the Chicken Pox,Michael Lembeck,Brown Mandell,1996-05-09,457324,26.1,2,05
24,The One with Barry and Mindy's Wedding,Michael Lembeck,Ira Ungerleider & Brown Mandell,1996-05-16,457323,29.0,2,05
1,The One with the Princess Leia Fantasy,Gail Mancuso,Michael Curtis & Gregory S. Malins,1996-09-19,465251,26.8,3,09
2,The One Where No One's Ready,Gail Mancuso,Ira Ungerleider,1996-09-26,465252,26.7,3,09
3,The One with the Jam,Kevin S. Bright,Wil Calhoun,1996-10-03,465253,25.2,3,10
4,The One with the Metaphorical Tunnel,Steve Zuckerman,Alexa Junge,1996-10-10,465254,26.1,3,10
5,The One with Frank Jr.,Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,1996-10-17,465255,23.3,3,10
6,The One with the Flashback,Peter Bonerz,David Crane & Marta Kauffman,1996-10-31,465256,23.3,3,10
7,The One with the Race Car Bed,Gail Mancuso,Seth Kurland,1996-11-07,465257,27.4,3,11
8,The One with the Giant Poking Device,Gail Mancuso,Adam Chase,1996-11-14,465258,28.7,3,11
9,The One with the Football,Kevin S. Bright,Ira Ungerleider,1996-11-21,465259,29.3,3,11
10,The One Where Rachel Quits,Terry Hughes,Gregory S. Malins & Michael Curtis,1996-12-12,465260,25.1,3,12
11,The One Where Chandler Can't Remember Which Sister,Terry Hughes,Alexa Junge,1997-01-09,465261,29.8,3,01
12,The One with All the Jealousy,Robby Benson,Doty Abrams,1997-01-16,465262,29.6,3,01
13,The One Where Monica and Richard Are Just Friends,Robby Benson,Michael Borkow,1997-01-30,465265,28.0,3,01
14,The One with Phoebe's Ex-Partner,Robby Benson,Wil Calhoun,1997-02-06,465266,28.9,3,02
