season,episode,title,director,release_date,all_cast,Rating,number_of_reviews,short_summary
1,1, The One Where Monica Gets a Roommate ,James Burrows , 22 September 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Clea Lewis', 'Barry Heins', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'John Allen Nelson', 'Cynthia Mann']",8.3,6579,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar."
1,2, The One with the Sonogram at the End ,James Burrows , 29 September 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Anita Barone', 'Mitchell Whitfield', 'Christopher Miranda', 'Merrill Markoe', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Christina Pickles', 'Jessica Hecht', 'Elliott Gould', 'Joan Pringle', 'James Michael Tyler']",8.1,4953,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.
1,3, The One with the Thumb ,James Burrows , 6 October 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Beth Grant', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Geoffrey Lower', 'Jenifer Lewis', 'Renee Fishman']",8.2,4667,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.
1,4, The One with George Stephanopoulos ,James Burrows , 13 October 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Marianne Hagan', 'Leesa Zelkin', 'Benjamin Caya', 'Adam Chase', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Mary Pat Gleason', 'Michele Maika', 'Sean Whalen', 'Jeff Astrof', 'Mike Sikowitz']",8.1,4524,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'."
1,5, The One with the East German Laundry Detergent ,Pamela Fryman , 20 October 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Kim Gillingham', 'Maggie Wheeler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Camille Saviola', 'Jack Armstrong', 'James Michael Tyler']",8.5,4498,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend."
1,6, The One with the Butt ,Arlene Sanford , 27 October 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'James Burrows', 'Bryan Hanna', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Sofia Milos', 'June Gable', 'Jillian Fontaine']",8.1,4326,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.
1,7, The One with the Blackout ,James Burrows , 3 November 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Larry Hankin', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jill Goodacre', 'Cosimo Fusco']",9.0,5544,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model."
1,8, The One Where Nana Dies Twice ,James Burrows , 10 November 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Elinor Donahue', 'Stuart Fratkin', 'Carolyn Lowery', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Christina Pickles', 'Nancy Cassaro', 'Elliott Gould', 'Marilyn Tokuda', 'David Sobel']",8.1,4214,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.
1,9, The One Where Underdog Gets Away ,James Burrows , 17 November 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Max Wright', 'Lara Harris', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jane Sibbett', 'Jessica Hecht', 'James Michael Tyler']",8.2,4091,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.
1,10, The One with the Monkey ,Peter Bonerz , 15 December 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Vincent Ventresca', 'Wayne Pére', 'Katie', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Hank Azaria', 'Maggie Wheeler', 'Sarah MacDonnell', 'Dick Clark', 'James Michael Tyler']",8.1,4121,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.
