,episode,writers,airdate,US viewers in Milln,season,month,title,director,Rating,number_of_reviews,scene,location
0,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,1, central perk
1,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,2, monica's apartment
2,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,3, the subway
3,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,4, ross's apartment
4,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,5, a restaurant
5,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,6, monica's apartment
6,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,7, ross's apartment; ross is pacing while joey and chandler are working on some more furniture.
7,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,8, a restaurant
8,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,9, monica's apartment
9,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,10, ross's apartment
10,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,11, monica's apartment
11,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,12, iridium
12,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,13, central perk
13,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,14, monica and rachel's
14,1,David Crane & Marta Kauffman,1994-09-22,21.5,1,9, The One Where Monica Gets a Roommate ,James Burrows ,8.3,6579,15, central perk
15,2,David Crane & Marta Kauffman,1994-09-29,20.2,1,9, The One with the Sonogram at the End ,James Burrows ,8.1,4953,1, central perk
