overall_ep,catchphrase,Rating,overall_ep
101,4.0,8.5,101
1010,8.0,8.0,1010
1011,6.0,9.0,1011
1012,4.0,8.9,1012
1013,2.0,8.5,1013
1014,4.0,8.6,1014
1015,2.0,8.5,1015
1016,6.0,8.9,1016
1017,19.0,9.5,1017
102,10.0,8.8,102
103,6.0,8.8,103
104,5.0,8.3,104
105,8.0,8.2,105
106,2.0,8.2,106
107,6.0,8.3,107
108,5.0,8.9,108
109,6.0,8.6,109
11,2.0,8.3,11
110,0.0,8.1,110
111,3.0,8.2,111
112,1.0,8.2,112
113,0.0,8.7,113
114,1.0,8.3,114
115,2.0,8.2,115
116,0.0,8.2,116
117,2.0,8.5,117
118,2.0,8.8,118
119,5.0,8.1,119
12,1.0,8.1,12
120,4.0,7.9,120
121,1.0,7.9,121
122,1.0,8.3,122
123,0.0,8.7,123
124,3.0,8.9,124
13,2.0,8.2,13
14,4.0,8.1,14
15,8.0,8.5,15
16,5.0,8.1,16
17,8.0,9.0,17
18,3.0,8.1,18
19,3.0,8.2,19
21,9.0,8.5,21
210,3.0,8.0,210
211,3.0,8.1,211
212,7.0,8.6,212
214,4.0,9.4,214
215,2.0,8.9,215
216,0.0,8.6,216
217,6.0,8.3,217
218,2.0,8.5,218
219,3.0,8.6,219
22,2.0,8.2,22
220,1.0,8.2,220
221,0.0,8.2,221
222,3.0,9.0,222
223,2.0,8.1,223
224,6.0,8.2,224
23,0.0,8.4,23
24,2.0,8.0,24
25,3.0,8.3,25
26,3.0,8.6,26
27,2.0,9.0,27
28,8.0,8.5,28
29,3.0,8.0,29
31,1.0,8.4,31
310,3.0,8.1,310
311,5.0,8.6,311
312,2.0,8.2,312
313,3.0,8.2,313
314,3.0,7.9,314
315,5.0,8.5,315
316,6.0,9.1,316
317,4.0,8.3,317
318,7.0,8.4,318
319,0.0,8.2,319
32,4.0,9.0,32
320,2.0,8.1,320
321,10.0,8.7,321
322,0.0,8.3,322
323,7.0,8.1,323
324,1.0,8.1,324
325,1.0,8.8,325
33,4.0,8.1,33
34,0.0,8.1,34
35,4.0,8.1,35
36,4.0,9.1,36
37,2.0,8.3,37
38,8.0,8.4,38
39,3.0,9.0,39
41,5.0,9.1,41
410,0.0,8.1,410
411,3.0,8.5,411
412,2.0,9.5,412
413,7.0,8.2,413
414,4.0,8.2,414
415,4.0,8.5,415
416,5.0,8.2,416
417,3.0,8.6,417
418,2.0,8.3,418
419,2.0,8.7,419
42,7.0,8.1,42
420,5.0,8.5,420
421,10.0,7.2,421
422,5.0,8.5,422
423,6.0,8.7,423
43,2.0,8.5,43
44,0.0,8.2,44
45,1.0,8.4,45
46,4.0,8.5,46
47,5.0,8.7,47
48,3.0,9.1,48
49,7.0,7.9,49
51,2.0,8.9,51
510,2.0,8.2,510
511,5.0,9.1,511
512,2.0,8.3,512
513,4.0,8.1,513
514,7.0,9.7,514
515,2.0,8.5,515
516,6.0,8.6,516
517,3.0,8.5,517
518,2.0,8.0,518
519,1.0,8.7,519
52,2.0,9.0,52
520,2.0,8.3,520
521,3.0,8.5,521
522,6.0,8.3,522
523,10.0,8.8,523
53,4.0,8.8,53
54,2.0,8.3,54
55,5.0,8.8,55
56,4.0,8.1,56
57,2.0,8.4,57
58,4.0,9.2,58
59,3.0,9.1,59
61,8.0,8.7,61
610,5.0,8.6,610
611,4.0,8.1,611
612,0.0,8.1,612
613,5.0,8.2,613
614,3.0,8.6,614
615,16.0,8.5,615
617,11.0,9.1,617
618,4.0,8.3,618
619,3.0,8.3,619
62,7.0,8.2,62
620,7.0,7.4,620
621,4.0,8.6,621
622,3.0,9.0,622
623,6.0,8.6,623
624,11.0,8.8,624
63,3.0,8.2,63
64,0.0,8.5,64
65,5.0,8.2,65
66,8.0,8.5,66
67,6.0,8.4,67
68,9.0,8.5,68
69,3.0,9.2,69
71,4.0,8.4,71
710,6.0,8.5,710
711,3.0,8.6,711
712,3.0,8.7,712
713,3.0,8.4,713
714,1.0,8.6,714
715,5.0,8.4,715
716,5.0,8.7,716
717,5.0,8.4,717
718,7.0,8.4,718
719,6.0,8.7,719
72,4.0,8.3,72
720,3.0,8.4,720
721,8.0,7.5,721
722,3.0,8.4,722
723,12.0,8.9,723
73,4.0,8.1,73
74,5.0,8.1,74
75,2.0,8.1,75
76,3.0,8.9,76
77,4.0,8.5,77
78,4.0,8.2,78
79,4.0,8.1,79
81,4.0,8.7,81
810,4.0,8.1,810
811,1.0,8.0,811
812,9.0,8.6,812
813,6.0,8.6,813
814,4.0,8.2,814
815,0.0,8.4,815
816,4.0,8.3,816
817,4.0,8.1,817
818,1.0,8.2,818
819,8.0,7.5,819
82,8.0,9.1,82
820,5.0,8.2,820
821,5.0,8.2,821
822,2.0,8.3,822
823,6.0,8.8,823
83,6.0,8.7,83
84,0.0,9.3,84
85,3.0,8.1,85
86,1.0,8.5,86
87,6.0,7.9,87
88,4.0,8.8,88
89,6.0,9.3,89
91,5.0,8.6,91
910,4.0,7.5,910
911,1.0,8.0,911
912,4.0,8.0,912
913,5.0,8.2,913
914,9.0,8.2,914
915,10.0,8.3,915
916,5.0,8.2,916
917,1.0,8.5,917
918,1.0,8.6,918
919,4.0,8.1,919
92,7.0,8.6,92
920,9.0,8.2,920
921,2.0,8.2,921
922,5.0,7.8,922
923,9.0,8.5,923
93,4.0,8.2,93
94,6.0,8.2,94
95,3.0,8.5,95
96,6.0,8.4,96
97,5.0,8.7,97
98,4.0,8.8,98
99,6.0,8.2,99
