overall_ep,catchphrase,Rating,overall_ep
101,0.0,8.5,101
1010,0.0,8.0,1010
1011,0.0,9.0,1011
1012,0.0,8.9,1012
1013,0.0,8.5,1013
1014,0.0,8.6,1014
1015,0.0,8.5,1015
1016,0.0,8.9,1016
1017,0.0,9.5,1017
102,4.0,8.8,102
103,0.0,8.8,103
104,1.0,8.3,104
105,0.0,8.2,105
106,0.0,8.2,106
107,0.0,8.3,107
108,0.0,8.9,108
109,3.0,8.6,109
11,0.0,8.3,11
110,0.0,8.1,110
111,1.0,8.2,111
112,0.0,8.2,112
113,0.0,8.7,113
114,0.0,8.3,114
115,1.0,8.2,115
116,0.0,8.2,116
117,0.0,8.5,117
118,0.0,8.8,118
119,1.0,8.1,119
12,0.0,8.1,12
120,0.0,7.9,120
121,0.0,7.9,121
122,0.0,8.3,122
123,0.0,8.7,123
124,0.0,8.9,124
13,0.0,8.2,13
14,2.0,8.1,14
15,3.0,8.5,15
16,0.0,8.1,16
17,1.0,9.0,17
18,1.0,8.1,18
19,0.0,8.2,19
21,0.0,8.5,21
210,0.0,8.0,210
211,0.0,8.1,211
212,0.0,8.6,212
214,0.0,9.4,214
215,0.0,8.9,215
216,0.0,8.6,216
217,0.0,8.3,217
218,0.0,8.5,218
219,0.0,8.6,219
22,0.0,8.2,22
220,0.0,8.2,220
221,0.0,8.2,221
222,0.0,9.0,222
223,0.0,8.1,223
224,1.0,8.2,224
23,0.0,8.4,23
24,0.0,8.0,24
25,0.0,8.3,25
26,0.0,8.6,26
27,0.0,9.0,27
28,0.0,8.5,28
29,0.0,8.0,29
31,0.0,8.4,31
310,0.0,8.1,310
311,0.0,8.6,311
312,0.0,8.2,312
313,0.0,8.2,313
314,0.0,7.9,314
315,0.0,8.5,315
316,0.0,9.1,316
317,0.0,8.3,317
318,0.0,8.4,318
319,0.0,8.2,319
32,1.0,9.0,32
320,1.0,8.1,320
321,1.0,8.7,321
322,0.0,8.3,322
323,0.0,8.1,323
324,0.0,8.1,324
325,0.0,8.8,325
33,2.0,8.1,33
34,0.0,8.1,34
35,0.0,8.1,35
36,0.0,9.1,36
37,0.0,8.3,37
38,0.0,8.4,38
39,1.0,9.0,39
41,0.0,9.1,41
410,0.0,8.1,410
411,1.0,8.5,411
412,0.0,9.5,412
413,0.0,8.2,413
414,0.0,8.2,414
415,1.0,8.5,415
416,0.0,8.2,416
417,0.0,8.6,417
418,0.0,8.3,418
419,0.0,8.7,419
42,0.0,8.1,42
420,0.0,8.5,420
421,1.0,7.2,421
422,0.0,8.5,422
423,0.0,8.7,423
43,1.0,8.5,43
44,0.0,8.2,44
45,0.0,8.4,45
46,0.0,8.5,46
47,0.0,8.7,47
48,0.0,9.1,48
49,0.0,7.9,49
51,0.0,8.9,51
510,0.0,8.2,510
511,0.0,9.1,511
512,0.0,8.3,512
513,0.0,8.1,513
514,0.0,9.7,514
515,0.0,8.5,515
516,3.0,8.6,516
517,1.0,8.5,517
518,0.0,8.0,518
519,0.0,8.7,519
52,0.0,9.0,52
520,0.0,8.3,520
521,0.0,8.5,521
522,0.0,8.3,522
523,0.0,8.8,523
53,0.0,8.8,53
54,0.0,8.3,54
55,0.0,8.8,55
56,0.0,8.1,56
57,0.0,8.4,57
58,0.0,9.2,58
59,1.0,9.1,59
61,0.0,8.7,61
610,0.0,8.6,610
611,0.0,8.1,611
612,0.0,8.1,612
613,0.0,8.2,613
614,0.0,8.6,614
615,0.0,8.5,615
617,9.0,9.1,617
618,0.0,8.3,618
619,1.0,8.3,619
62,0.0,8.2,62
620,0.0,7.4,620
621,1.0,8.6,621
622,0.0,9.0,622
623,0.0,8.6,623
624,0.0,8.8,624
63,0.0,8.2,63
64,0.0,8.5,64
65,0.0,8.2,65
66,0.0,8.5,66
67,0.0,8.4,67
68,0.0,8.5,68
69,0.0,9.2,69
71,0.0,8.4,71
710,4.0,8.5,710
711,0.0,8.6,711
712,1.0,8.7,712
713,0.0,8.4,713
714,0.0,8.6,714
715,0.0,8.4,715
716,0.0,8.7,716
717,0.0,8.4,717
718,0.0,8.4,718
719,0.0,8.7,719
72,0.0,8.3,72
720,1.0,8.4,720
721,1.0,7.5,721
722,0.0,8.4,722
723,0.0,8.9,723
73,0.0,8.1,73
74,0.0,8.1,74
75,0.0,8.1,75
76,0.0,8.9,76
77,0.0,8.5,77
78,0.0,8.2,78
79,0.0,8.1,79
81,0.0,8.7,81
810,0.0,8.1,810
811,0.0,8.0,811
812,1.0,8.6,812
813,0.0,8.6,813
814,0.0,8.2,814
815,0.0,8.4,815
816,0.0,8.3,816
817,0.0,8.1,817
818,0.0,8.2,818
819,0.0,7.5,819
82,0.0,9.1,82
820,0.0,8.2,820
821,0.0,8.2,821
822,1.0,8.3,822
823,0.0,8.8,823
83,0.0,8.7,83
84,0.0,9.3,84
85,0.0,8.1,85
86,0.0,8.5,86
87,0.0,7.9,87
88,0.0,8.8,88
89,1.0,9.3,89
91,0.0,8.6,91
910,2.0,7.5,910
911,0.0,8.0,911
912,0.0,8.0,912
913,0.0,8.2,913
914,0.0,8.2,914
915,0.0,8.3,915
916,0.0,8.2,916
917,0.0,8.5,917
918,1.0,8.6,918
919,0.0,8.1,919
92,1.0,8.6,92
920,0.0,8.2,920
921,1.0,8.2,921
922,0.0,7.8,922
923,0.0,8.5,923
93,0.0,8.2,93
94,0.0,8.2,94
95,0.0,8.5,95
96,1.0,8.4,96
97,0.0,8.7,97
98,0.0,8.8,98
99,0.0,8.2,99
