season,episode,title,director,release_date,all_cast,Rating,number_of_reviews,short_summary,writer,views,month,central_perk_loc,monicas_loc,chandlers_loc,ross_loc,monicas_lines,rachel_lines,ross_lines,phoebe_lines,joey_lines,chandler_lines,all_lines,num_guest_stars,common_director,epi_type,catchphrases,title_about,gunther,janice,richard,heckles,frank,estelle,ursula,part_1,rat_grouped
1,1, The One Where Monica Gets a Roommate ,James Burrows , 22 September 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Clea Lewis', 'Barry Heins', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'John Allen Nelson', 'Cynthia Mann']",8.3,6579,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.",David Crane & Marta Kauffman,21.5,9,0.2,0.3333333333333333,0.0,0.2,0.2425249169435216,0.16279069767441862,0.15614617940199335,0.06312292358803986,0.1362126245847176,0.12956810631229235,0.026578073089700997,0,James Burrows,prem,0,['monica'],0,0,0,0,0,0,0,0,av
1,2, The One with the Sonogram at the End ,James Burrows , 29 September 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Anita Barone', 'Mitchell Whitfield', 'Christopher Miranda', 'Merrill Markoe', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Christina Pickles', 'Jessica Hecht', 'Elliott Gould', 'Joan Pringle', 'James Michael Tyler']",8.1,4953,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,David Crane & Marta Kauffman,20.2,9,0.09090909090909091,0.2727272727272727,0.0,0.0,0.11522633744855967,0.15637860082304528,0.25925925925925924,0.05761316872427984,0.037037037037037035,0.06584362139917696,0.00823045267489712,0,James Burrows,reg,0,other,1,0,0,0,0,0,0,0,below
1,3, The One with the Thumb ,James Burrows , 6 October 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Beth Grant', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Geoffrey Lower', 'Jenifer Lewis', 'Renee Fishman']",8.2,4667,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,Jeffrey Astrof & Mike Sikowitz,19.5,10,0.26666666666666666,0.2,0.13333333333333333,0.0,0.20155038759689922,0.10077519379844961,0.12790697674418605,0.14728682170542637,0.10852713178294573,0.13953488372093023,0.08139534883720931,0,James Burrows,reg,0,other,1,0,0,0,0,0,0,0,below
1,4, The One with George Stephanopoulos ,James Burrows , 13 October 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Marianne Hagan', 'Leesa Zelkin', 'Benjamin Caya', 'Adam Chase', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Mary Pat Gleason', 'Michele Maika', 'Sean Whalen', 'Jeff Astrof', 'Mike Sikowitz']",8.1,4524,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",Alexa Junge,19.7,10,0.1875,0.375,0.0,0.0,0.19123505976095617,0.16733067729083664,0.1553784860557769,0.12749003984063745,0.09561752988047809,0.12749003984063745,0.01593625498007968,0,James Burrows,reg,2,other,1,0,0,0,0,0,0,0,below
1,5, The One with the East German Laundry Detergent ,Pamela Fryman , 20 October 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Kim Gillingham', 'Maggie Wheeler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Camille Saviola', 'Jack Armstrong', 'James Michael Tyler']",8.5,4498,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",Jeff Greenstein & Jeff Strauss,18.6,10,0.375,0.0625,0.0,0.0625,0.13865546218487396,0.15546218487394958,0.16806722689075632,0.09663865546218488,0.15126050420168066,0.14705882352941177,0.0,0,other,reg,3,other,1,1,0,0,0,0,0,0,av
1,6, The One with the Butt ,Arlene Sanford , 27 October 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'James Burrows', 'Bryan Hanna', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Sofia Milos', 'June Gable', 'Jillian Fontaine']",8.1,4326,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,Adam Chase & Ira Ungerleider,18.2,10,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.1552511415525114,0.0684931506849315,0.1004566210045662,0.045662100456621,0.136986301369863,0.2648401826484018,0.0639269406392694,0,other,reg,0,other,0,0,0,0,0,1,0,0,below
1,7, The One with the Blackout ,James Burrows , 3 November 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Larry Hankin', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jill Goodacre', 'Cosimo Fusco']",9.0,5544,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",Jeffrey Astrof & Mike Sikowitz,23.5,11,0.047619047619047616,0.5238095238095238,0.0,0.0,0.09956709956709957,0.18614718614718614,0.22943722943722944,0.10822510822510822,0.11688311688311688,0.10822510822510822,0.012987012987012988,1,James Burrows,reg,1,other,0,0,0,1,0,0,0,0,above
1,8, The One Where Nana Dies Twice ,James Burrows , 10 November 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Elinor Donahue', 'Stuart Fratkin', 'Carolyn Lowery', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Christina Pickles', 'Nancy Cassaro', 'Elliott Gould', 'Marilyn Tokuda', 'David Sobel']",8.1,4214,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,Marta Kauffman & David Crane,21.1,11,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.0,0.1452991452991453,0.07692307692307693,0.20512820512820512,0.06837606837606838,0.04700854700854701,0.1581196581196581,0.01282051282051282,0,James Burrows,reg,1,other,0,0,0,0,0,0,0,0,below
1,9, The One Where Underdog Gets Away ,James Burrows , 17 November 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Max Wright', 'Lara Harris', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jane Sibbett', 'Jessica Hecht', 'James Michael Tyler']",8.2,4091,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,Jeff Greenstein & Jeff Strauss,23.1,11,0.23076923076923078,0.3076923076923077,0.0,0.0,0.21052631578947367,0.15350877192982457,0.15789473684210525,0.08771929824561403,0.14035087719298245,0.11403508771929824,0.0043859649122807015,0,James Burrows,reg,0,other,1,0,0,0,0,0,0,0,below
1,10, The One with the Monkey ,Peter Bonerz , 15 December 1994,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Vincent Ventresca', 'Wayne Pére', 'Katie', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Hank Azaria', 'Maggie Wheeler', 'Sarah MacDonnell', 'Dick Clark', 'James Michael Tyler']",8.1,4121,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,Adam Chase & Ira Ungerleider,19.9,12,0.25,0.5,0.0,0.0,0.10043668122270742,0.07860262008733625,0.12663755458515283,0.21397379912663755,0.08296943231441048,0.13537117903930132,0.021834061135371178,0,Peter Bonerz,reg,0,other,1,1,0,0,0,0,0,0,below
1,11, The One with Mrs. Bing ,James Burrows , 5 January 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Cosimo Fusco', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Morgan Fairchild', 'David Sederholm', 'Jay Leno']",8.2,4049,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",Alexa Junge,26.6,1,0.08333333333333333,0.16666666666666666,0.25,0.0,0.14487632508833923,0.06713780918727916,0.21908127208480566,0.14487632508833923,0.11307420494699646,0.14840989399293286,0.01060070671378092,0,James Burrows,reg,1,other,1,0,0,0,0,0,0,0,below
1,12, The One with the Dozen Lasagnas ,Paul Lazarus , 12 January 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jessica Hecht', 'Cynthia Mann', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jane Sibbett', 'Cosimo Fusco', 'Jo Jean Pagano', 'James Michael Tyler']",8.2,3978,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,24.0,1,0.2,0.26666666666666666,0.26666666666666666,0.0,0.09019607843137255,0.1450980392156863,0.20392156862745098,0.16862745098039217,0.12549019607843137,0.14901960784313725,0.0,0,other,reg,0,other,1,0,0,0,0,0,0,0,below
1,13, The One with the Boobies ,Alan Myerson , 19 January 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Lee Garlington', 'Brenda Vaccaro', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Robert Costanzo', 'Fisher Stevens']",8.7,4225,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,Alexa Junge,25.8,1,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.0,0.07407407407407407,0.1111111111111111,0.04938271604938271,0.1111111111111111,0.17695473251028807,0.1440329218106996,0.02880658436213992,0,other,reg,0,other,0,0,0,0,0,0,0,0,above
1,14, The One with the Candy Hearts ,James Burrows , 9 February 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jessica Hecht', 'Nancy Valen', 'Jay Acovone', 'Maggie Wheeler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jane Sibbett', 'Heather Medway', 'Larry Poindexter', 'Joel Gretsch']",8.3,3919,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",Bill Lawrence,23.8,2,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.0,0.1111111111111111,0.10052910052910052,0.1164021164021164,0.06349206349206349,0.1111111111111111,0.21164021164021163,0.0,0,James Burrows,reg,0,other,0,1,0,0,0,0,0,0,av
1,15, The One with the Stoned Guy ,Alan Myerson , 16 February 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jon Lovitz', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Melora Hardin', 'Fritzi Burr', 'Katie']",8.2,3962,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",Jeff Greenstein & Jeff Strauss,24.8,2,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.16393442622950818,0.13524590163934427,0.1557377049180328,0.12295081967213115,0.13114754098360656,0.14754098360655737,0.01639344262295082,1,other,reg,1,other,1,0,0,0,0,0,0,0,below
1,16, The One with Two Parts: Part 1 ,Michael Lembeck , 23 February 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jane Sibbett', 'Larry Hankin', 'Michele Lamar Richards', 'Helen Hunt', ""Patrick O'Bell"", 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Dorien Wilson', 'Jessica Hecht', 'Jennifer Grant', 'Leila Kenzle', 'Patty Tiffany', 'Katie', 'James Michael Tyler']",8.2,3885,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,Marta Kauffman & David Crane,26.1,2,0.125,0.25,0.3125,0.0,0.06273062730627306,0.08487084870848709,0.11808118081180811,0.14022140221402213,0.0996309963099631,0.1918819188191882,0.0036900369003690036,3,Michael Lembeck,reg,0,other,1,0,0,1,0,0,0,0,below
1,17, The One with Two Parts: Part 2 ,Michael Lembeck , 23 February 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Alaina Reed-Hall', 'Noah Wyle', 'Katie', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Elliott Gould', 'George Clooney', 'Baillie Gerstein', 'James Michael Tyler']",8.5,3937,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.",Marta Kauffman & David Crane,30.5,2,0.14285714285714285,0.35714285714285715,0.0,0.0,0.20567375886524822,0.1879432624113475,0.12056737588652482,0.11347517730496454,0.09574468085106383,0.07446808510638298,0.0070921985815602835,2,Michael Lembeck,reg,0,other,1,0,0,0,0,0,0,0,av
1,18, The One with All the Poker ,James Burrows , 2 March 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Beverly Garland', 'Katie']",8.8,4395,"As Rachel interviews for a new job, the girls take on the guys in a game of poker.",Jeffrey Astrof & Mike Sikowitz,30.4,3,0.1111111111111111,0.5555555555555556,0.0,0.3333333333333333,0.14130434782608695,0.2572463768115942,0.22826086956521738,0.12681159420289856,0.09420289855072464,0.11594202898550725,0.0036231884057971015,0,James Burrows,reg,0,other,1,0,0,0,0,0,0,0,above
1,19, The One Where the Monkey Gets Away ,Peter Bonerz , 9 March 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Megan Cavanagh', 'Angela Visser', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Mitchell Whitfield', 'Larry Hankin', 'Elizabeth Sjoli', 'Katie']",8.1,3783,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,Jeffrey Astrof & Mike Sikowitz,29.4,3,0.3333333333333333,0.4444444444444444,0.0,0.0,0.15163934426229508,0.23770491803278687,0.20491803278688525,0.09836065573770492,0.06967213114754098,0.07377049180327869,0.004098360655737705,0,Peter Bonerz,reg,1,other,1,0,0,1,0,0,0,0,below
1,20, The One with the Evil Orthodontist ,Peter Bonerz , 6 April 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Mitchell Whitfield', 'Christopher Miranda', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jennifer Grey', 'Lynn Clark', 'James Michael Tyler']",7.9,3783,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.",Doty Abrams,30.0,4,0.25,0.5,0.0,0.0,0.12704918032786885,0.2336065573770492,0.0860655737704918,0.07377049180327869,0.0942622950819672,0.1721311475409836,0.01639344262295082,1,Peter Bonerz,reg,0,other,1,0,0,0,0,0,0,0,below
1,21, The One with the Fake Monica ,Gail Mancuso , 27 April 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Karla Tamburrelli', 'Philip Rayburn Smith', 'Katie', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Claudia Shear', 'Harry Shearer', 'Anthony Backman', 'James Michael Tyler']",7.9,3820,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,Adam Chase & Ira Ungerleider,28.4,4,0.26666666666666666,0.4,0.0,0.0,0.32701421800947866,0.14691943127962084,0.13744075829383887,0.06635071090047394,0.10426540284360189,0.0947867298578199,0.004739336492890996,1,Gail Mancuso,reg,0,['monica'],1,0,0,0,0,0,0,0,below
1,22, The One with the Ick Factor ,Robby Benson , 4 May 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Brian Buckner', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Stan Kirsch', 'Darryl Sivad', 'Anthony Backman']",8.3,3774,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,Alexa Junge,29.9,5,0.3076923076923077,0.38461538461538464,0.15384615384615385,0.0,0.17328519855595667,0.12274368231046931,0.1371841155234657,0.1552346570397112,0.07942238267148015,0.20577617328519857,0.007220216606498195,0,other,reg,0,other,1,0,0,0,0,0,0,0,av
1,23, The One with the Birth ,James Burrows , 11 May 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jane Sibbett', 'Leah Remini', 'Carlo Imperato', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jonathan Silverman', 'Jessica Hecht', 'June Gable', 'Jackie Bright']",8.7,3971,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.",David Crane & Marta Kauffman & Jeff Greenstein & Jeff Strauss,28.7,5,0.0,0.0,0.0,0.0,0.07462686567164178,0.08208955223880597,0.2126865671641791,0.0708955223880597,0.09328358208955224,0.07835820895522388,0.014925373134328358,1,James Burrows,reg,0,other,0,0,0,0,0,0,0,0,above
1,24, The One Where Rachel Finds Out ,Kevin Bright (as Kevin S. Bright)    , 18 May 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Corinne Bohrer', 'Kerrie Klark', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'Tommy Blaze', 'Jack Riley']",8.9,4239,"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.",Chris Brown,31.3,5,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.0,0.14728682170542637,0.2054263565891473,0.1434108527131783,0.09302325581395349,0.15891472868217055,0.13565891472868216,0.0,0,Kevin Bright,fin,0,['rachel'],0,0,0,0,0,0,0,0,above
